ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-06,west,TRN,68,345,3.6,0
2024-06,central,TRN,41,226,3.2,0
2024-06,south,TRN,54,292,2.8,0
2024-06,northeast,TRN,46,226,2.9,0
2024-06,southeast,TRN,40,239,2.0,0
2024-06,west,VST,60,374,4.0,0
2024-06,central,VST,45,244,3.5,0
2024-06,south,VST,55,316,3.9,0
2024-06,northeast,VST,38,244,2.6,0
2024-06,southeast,VST,51,259,3.4,0
2024-06,west,AUR,26,147,2.9,0
2024-06,central,AUR,10,54,3.9,0
2024-06,south,AUR,13,69,3.6,0
2024-06,northeast,AUR,18,96,3.2,0
2024-06,southeast,AUR,14,76,3.9,0
2024-06,west,MRD,45,230,3.0,0
2024-06,central,MRD,30,150,3.8,0
2024-06,south,MRD,37,195,3.3,0
2024-06,northeast,MRD,27,150,3.7,0
2024-06,southeast,MRD,32,159,3.3,0
2024-06,west,NOV,33,187,3.1,0
2024-06,central,NOV,25,122,3.7,0
2024-06,south,NOV,33,158,3.1,0
2024-06,northeast,NOV,23,122,3.6,0
2024-06,southeast,NOV,25,129,2.5,0
2024-06,west,LUM,43,240,2.7,0
2024-06,central,LUM,17,87,2.5,0
2024-06,south,LUM,19,113,3.4,0
2024-06,northeast,LUM,29,157,4.1,0
2024-06,southeast,LUM,24,123,3.2,0
