ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2025-03,west,TRN,79,353,2.9,0
2025-03,central,TRN,43,231,3.4,0
2025-03,south,TRN,58,298,3.6,0
2025-03,northeast,TRN,43,231,3.6,0
2025-03,southeast,TRN,49,244,2.8,0
2025-03,west,VST,65,382,3.3,0
2025-03,central,VST,47,250,3.3,0
2025-03,south,VST,67,323,3.3,0
2025-03,northeast,VST,45,250,2.5,0
2025-03,southeast,VST,47,264,3.1,0
2025-03,west,AUR,26,151,2.2,0
2025-03,central,AUR,10,55,2.4,0
2025-03,south,AUR,14,71,3.6,0
2025-03,northeast,AUR,20,99,2.5,0
2025-03,southeast,AUR,13,77,2.9,0
2025-03,west,MRD,38,235,2.3,0
2025-03,central,MRD,29,154,4.1,0
2025-03,south,MRD,36,199,3.7,0
2025-03,northeast,MRD,31,154,3.4,0
2025-03,southeast,MRD,31,163,3.2,0
2025-03,west,NOV,38,191,3.9,0
2025-03,central,NOV,24,125,3.1,0
2025-03,south,NOV,31,162,3.4,0
2025-03,northeast,NOV,25,125,3.1,0
2025-03,southeast,NOV,27,132,3.2,0
2025-03,west,LUM,39,245,2.7,0
2025-03,central,LUM,17,89,3.2,0
2025-03,south,LUM,20,115,3.5,0
2025-03,northeast,LUM,30,160,3.9,0
2025-03,southeast,LUM,22,126,3.6,0
