ym,zone_id,model_id,voc_cnt,service_in_cnt,booking_delay_days,campaign_repair_cnt
2024-09,west,TRN,69,348,3.4,0
2024-09,central,TRN,44,227,3.4,0
2024-09,south,TRN,61,294,3.4,0
2024-09,northeast,TRN,48,227,3.5,0
2024-09,southeast,TRN,45,241,3.7,0
2024-09,west,VST,77,376,2.9,0
2024-09,central,VST,43,246,3.6,0
2024-09,south,VST,62,319,2.6,0
2024-09,northeast,VST,40,246,3.8,0
2024-09,southeast,VST,60,261,3.4,0
2024-09,west,AUR,28,149,2.8,0
2024-09,central,AUR,11,54,3.1,0
2024-09,south,AUR,14,70,3.5,0
2024-09,northeast,AUR,19,97,3.0,0
2024-09,southeast,AUR,13,76,4.0,0
2024-09,west,MRD,42,232,3.3,0
2024-09,central,MRD,29,151,2.8,0
2024-09,south,MRD,38,196,2.3,0
2024-09,northeast,MRD,29,151,3.5,0
2024-09,southeast,MRD,25,160,2.0,0
2024-09,west,NOV,35,188,3.6,0
2024-09,central,NOV,25,123,3.7,0
2024-09,south,NOV,33,159,3.2,0
2024-09,northeast,NOV,21,123,2.6,0
2024-09,southeast,NOV,30,130,2.8,0
2024-09,west,LUM,48,241,3.1,0
2024-09,central,LUM,17,88,3.3,0
2024-09,south,LUM,19,113,3.4,0
2024-09,northeast,LUM,32,158,4.0,0
2024-09,southeast,LUM,21,124,3.4,0
