ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-09,TRN,TRN-CO,5279,60,1
2024-09,TRN,TRN-PR,6113,60,1
2024-09,TRN,TRN-SU,2501,60,1
2024-09,VST,VST-CO,5507,60,1
2024-09,VST,VST-PR,6377,60,1
2024-09,VST,VST-TR,2609,60,1
2024-09,AUR,AUR-AI,1816,60,1
2024-09,AUR,AUR-RA,2103,60,1
2024-09,AUR,AUR-MA,860,60,1
2024-09,MRD,MRD-CO,3497,60,1
2024-09,MRD,MRD-PR,4050,60,1
2024-09,MRD,MRD-SP,1657,60,1
2024-09,NOV,NOV-CO,2650,60,1
2024-09,NOV,NOV-PR,3068,60,1
2024-09,NOV,NOV-LO,1255,60,1
2024-09,LUM,LUM-AI,2887,60,1
2024-09,LUM,LUM-RA,3343,60,1
2024-09,LUM,LUM-SP,1367,60,1
