ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2026-04,TRN,TRN-CO,6310,60,1
2026-04,TRN,TRN-PR,7306,60,1
2026-04,TRN,TRN-SU,2989,60,1
2026-04,VST,VST-CO,6959,60,1
2026-04,VST,VST-PR,8058,60,1
2026-04,VST,VST-TR,3296,60,1
2026-04,AUR,AUR-AI,2245,60,1
2026-04,AUR,AUR-RA,2599,60,1
2026-04,AUR,AUR-MA,1063,60,1
2026-04,MRD,MRD-CO,4684,60,1
2026-04,MRD,MRD-PR,5424,60,1
2026-04,MRD,MRD-SP,2219,60,1
2026-04,NOV,NOV-CO,3376,60,1
2026-04,NOV,NOV-PR,3909,60,1
2026-04,NOV,NOV-LO,1599,60,1
2026-04,LUM,LUM-AI,3980,60,1
2026-04,LUM,LUM-RA,4608,60,1
2026-04,LUM,LUM-SP,1885,60,1
