ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-07,TRN,TRN-CO,5705,60,1
2025-07,TRN,TRN-PR,6605,60,1
2025-07,TRN,TRN-SU,2702,60,1
2025-07,VST,VST-CO,6285,60,1
2025-07,VST,VST-PR,7277,60,1
2025-07,VST,VST-TR,2977,60,1
2025-07,AUR,AUR-AI,1912,60,1
2025-07,AUR,AUR-RA,2213,60,1
2025-07,AUR,AUR-MA,905,60,1
2025-07,MRD,MRD-CO,4323,60,1
2025-07,MRD,MRD-PR,5006,60,1
2025-07,MRD,MRD-SP,2048,60,1
2025-07,NOV,NOV-CO,3041,60,1
2025-07,NOV,NOV-PR,3521,60,1
2025-07,NOV,NOV-LO,1440,60,1
2025-07,LUM,LUM-AI,2485,60,1
2025-07,LUM,LUM-RA,2877,60,1
2025-07,LUM,LUM-SP,1177,60,1
