ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-05,TRN,TRN-CO,6353,60,1
2024-05,TRN,TRN-PR,7356,60,1
2024-05,TRN,TRN-SU,3009,60,1
2024-05,VST,VST-CO,6919,60,1
2024-05,VST,VST-PR,8011,60,1
2024-05,VST,VST-TR,3277,60,1
2024-05,AUR,AUR-AI,2055,60,1
2024-05,AUR,AUR-RA,2380,60,1
2024-05,AUR,AUR-MA,973,60,1
2024-05,MRD,MRD-CO,3972,60,1
2024-05,MRD,MRD-PR,4599,60,1
2024-05,MRD,MRD-SP,1881,60,1
2024-05,NOV,NOV-CO,2894,60,1
2024-05,NOV,NOV-PR,3351,60,1
2024-05,NOV,NOV-LO,1371,60,1
2024-05,LUM,LUM-AI,3224,60,1
2024-05,LUM,LUM-RA,3733,60,1
2024-05,LUM,LUM-SP,1527,60,1
