ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-03,TRN,TRN-CO,6311,60,1
2024-03,TRN,TRN-PR,7308,60,1
2024-03,TRN,TRN-SU,2989,60,1
2024-03,VST,VST-CO,6476,60,1
2024-03,VST,VST-PR,7499,60,1
2024-03,VST,VST-TR,3068,60,1
2024-03,AUR,AUR-AI,2182,60,1
2024-03,AUR,AUR-RA,2527,60,1
2024-03,AUR,AUR-MA,1034,60,1
2024-03,MRD,MRD-CO,3892,60,1
2024-03,MRD,MRD-PR,4506,60,1
2024-03,MRD,MRD-SP,1843,60,1
2024-03,NOV,NOV-CO,3453,60,1
2024-03,NOV,NOV-PR,3999,60,1
2024-03,NOV,NOV-LO,1636,60,1
2024-03,LUM,LUM-AI,3411,60,1
2024-03,LUM,LUM-RA,3949,60,1
2024-03,LUM,LUM-SP,1616,60,1
