ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-12,TRN,TRN-CO,6526,60,1
2024-12,TRN,TRN-PR,7556,60,1
2024-12,TRN,TRN-SU,3091,60,1
2024-12,VST,VST-CO,7576,60,1
2024-12,VST,VST-PR,8773,60,1
2024-12,VST,VST-TR,3589,60,1
2024-12,AUR,AUR-AI,2280,60,1
2024-12,AUR,AUR-RA,2640,60,1
2024-12,AUR,AUR-MA,1080,60,1
2024-12,MRD,MRD-CO,3476,60,1
2024-12,MRD,MRD-PR,4025,60,1
2024-12,MRD,MRD-SP,1646,60,1
2024-12,NOV,NOV-CO,2897,60,1
2024-12,NOV,NOV-PR,3355,60,1
2024-12,NOV,NOV-LO,1372,60,1
2024-12,LUM,LUM-AI,3070,60,1
2024-12,LUM,LUM-RA,3555,60,1
2024-12,LUM,LUM-SP,1454,60,1
