ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-08,TRN,TRN-CO,6478,60,1
2025-08,TRN,TRN-PR,7501,60,1
2025-08,TRN,TRN-SU,3069,60,1
2025-08,VST,VST-CO,7105,60,1
2025-08,VST,VST-PR,8227,60,1
2025-08,VST,VST-TR,3366,60,1
2025-08,AUR,AUR-AI,2341,60,1
2025-08,AUR,AUR-RA,2711,60,1
2025-08,AUR,AUR-MA,1109,60,1
2025-08,MRD,MRD-CO,4277,60,1
2025-08,MRD,MRD-PR,4953,60,1
2025-08,MRD,MRD-SP,2026,60,1
2025-08,NOV,NOV-CO,3101,60,1
2025-08,NOV,NOV-PR,3591,60,1
2025-08,NOV,NOV-LO,1469,60,1
2025-08,LUM,LUM-AI,3140,60,1
2025-08,LUM,LUM-RA,3636,60,1
2025-08,LUM,LUM-SP,1487,60,1
