ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-10,TRN,TRN-CO,5447,60,1
2024-10,TRN,TRN-PR,6306,60,1
2024-10,TRN,TRN-SU,2580,60,1
2024-10,VST,VST-CO,5573,60,1
2024-10,VST,VST-PR,6453,60,1
2024-10,VST,VST-TR,2640,60,1
2024-10,AUR,AUR-AI,1792,60,1
2024-10,AUR,AUR-RA,2075,60,1
2024-10,AUR,AUR-MA,849,60,1
2024-10,MRD,MRD-CO,3444,60,1
2024-10,MRD,MRD-PR,3987,60,1
2024-10,MRD,MRD-SP,1631,60,1
2024-10,NOV,NOV-CO,3835,60,1
2024-10,NOV,NOV-PR,4440,60,1
2024-10,NOV,NOV-LO,1816,60,1
2024-10,LUM,LUM-AI,3966,60,1
2024-10,LUM,LUM-RA,4592,60,1
2024-10,LUM,LUM-SP,1878,60,1
