ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-08,TRN,TRN-CO,6322,60,1
2024-08,TRN,TRN-PR,7321,60,1
2024-08,TRN,TRN-SU,2995,60,1
2024-08,VST,VST-CO,7080,60,1
2024-08,VST,VST-PR,8198,60,1
2024-08,VST,VST-TR,3354,60,1
2024-08,AUR,AUR-AI,2182,60,1
2024-08,AUR,AUR-RA,2527,60,1
2024-08,AUR,AUR-MA,1034,60,1
2024-08,MRD,MRD-CO,3427,60,1
2024-08,MRD,MRD-PR,3968,60,1
2024-08,MRD,MRD-SP,1623,60,1
2024-08,NOV,NOV-CO,2776,60,1
2024-08,NOV,NOV-PR,3214,60,1
2024-08,NOV,NOV-LO,1315,60,1
2024-08,LUM,LUM-AI,2945,60,1
2024-08,LUM,LUM-RA,3410,60,1
2024-08,LUM,LUM-SP,1395,60,1
