ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2026-02,TRN,TRN-CO,5406,60,1
2026-02,TRN,TRN-PR,6260,60,1
2026-02,TRN,TRN-SU,2561,60,1
2026-02,VST,VST-CO,6173,60,1
2026-02,VST,VST-PR,7148,60,1
2026-02,VST,VST-TR,2924,60,1
2026-02,AUR,AUR-AI,1952,60,1
2026-02,AUR,AUR-RA,2261,60,1
2026-02,AUR,AUR-MA,925,60,1
2026-02,MRD,MRD-CO,4321,60,1
2026-02,MRD,MRD-PR,5003,60,1
2026-02,MRD,MRD-SP,2047,60,1
2026-02,NOV,NOV-CO,3634,60,1
2026-02,NOV,NOV-PR,4207,60,1
2026-02,NOV,NOV-LO,1721,60,1
2026-02,LUM,LUM-AI,3895,60,1
2026-02,LUM,LUM-RA,4510,60,1
2026-02,LUM,LUM-SP,1845,60,1
