ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-11,TRN,TRN-CO,5530,60,1
2025-11,TRN,TRN-PR,6403,60,1
2025-11,TRN,TRN-SU,2620,60,1
2025-11,VST,VST-CO,6410,60,1
2025-11,VST,VST-PR,7422,60,1
2025-11,VST,VST-TR,3036,60,1
2025-11,AUR,AUR-AI,1943,60,1
2025-11,AUR,AUR-RA,2250,60,1
2025-11,AUR,AUR-MA,920,60,1
2025-11,MRD,MRD-CO,5007,60,1
2025-11,MRD,MRD-PR,5798,60,1
2025-11,MRD,MRD-SP,2372,60,1
2025-11,NOV,NOV-CO,3076,60,1
2025-11,NOV,NOV-PR,3562,60,1
2025-11,NOV,NOV-LO,1457,60,1
2025-11,LUM,LUM-AI,3718,60,1
2025-11,LUM,LUM-RA,4306,60,1
2025-11,LUM,LUM-SP,1761,60,1
