ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-06,TRN,TRN-CO,5750,60,1
2024-06,TRN,TRN-PR,6658,60,1
2024-06,TRN,TRN-SU,2724,60,1
2024-06,VST,VST-CO,6382,60,1
2024-06,VST,VST-PR,7390,60,1
2024-06,VST,VST-TR,3023,60,1
2024-06,AUR,AUR-AI,2015,60,1
2024-06,AUR,AUR-RA,2333,60,1
2024-06,AUR,AUR-MA,954,60,1
2024-06,MRD,MRD-CO,3726,60,1
2024-06,MRD,MRD-PR,4314,60,1
2024-06,MRD,MRD-SP,1765,60,1
2024-06,NOV,NOV-CO,3422,60,1
2024-06,NOV,NOV-PR,3962,60,1
2024-06,NOV,NOV-LO,1621,60,1
2024-06,LUM,LUM-AI,3550,60,1
2024-06,LUM,LUM-RA,4110,60,1
2024-06,LUM,LUM-SP,1682,60,1
