ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-06,TRN,TRN-CO,5750,60,1
2025-06,TRN,TRN-PR,6658,60,1
2025-06,TRN,TRN-SU,2724,60,1
2025-06,VST,VST-CO,7011,60,1
2025-06,VST,VST-PR,8118,60,1
2025-06,VST,VST-TR,3321,60,1
2025-06,AUR,AUR-AI,2133,60,1
2025-06,AUR,AUR-RA,2470,60,1
2025-06,AUR,AUR-MA,1011,60,1
2025-06,MRD,MRD-CO,3909,60,1
2025-06,MRD,MRD-PR,4527,60,1
2025-06,MRD,MRD-SP,1852,60,1
2025-06,NOV,NOV-CO,3597,60,1
2025-06,NOV,NOV-PR,4165,60,1
2025-06,NOV,NOV-LO,1704,60,1
2025-06,LUM,LUM-AI,3990,60,1
2025-06,LUM,LUM-RA,4620,60,1
2025-06,LUM,LUM-SP,1890,60,1
