ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-04,TRN,TRN-CO,6115,60,1
2025-04,TRN,TRN-PR,7081,60,1
2025-04,TRN,TRN-SU,2897,60,1
2025-04,VST,VST-CO,6527,60,1
2025-04,VST,VST-PR,7557,60,1
2025-04,VST,VST-TR,3092,60,1
2025-04,AUR,AUR-AI,2309,60,1
2025-04,AUR,AUR-RA,2673,60,1
2025-04,AUR,AUR-MA,1094,60,1
2025-04,MRD,MRD-CO,4517,60,1
2025-04,MRD,MRD-PR,5230,60,1
2025-04,MRD,MRD-SP,2139,60,1
2025-04,NOV,NOV-CO,3193,60,1
2025-04,NOV,NOV-PR,3697,60,1
2025-04,NOV,NOV-LO,1512,60,1
2025-04,LUM,LUM-AI,3465,60,1
2025-04,LUM,LUM-RA,4012,60,1
2025-04,LUM,LUM-SP,1641,60,1
