ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2026-03,TRN,TRN-CO,6687,60,1
2026-03,TRN,TRN-PR,7742,60,1
2026-03,TRN,TRN-SU,3167,60,1
2026-03,VST,VST-CO,7042,60,1
2026-03,VST,VST-PR,8154,60,1
2026-03,VST,VST-TR,3336,60,1
2026-03,AUR,AUR-AI,2266,60,1
2026-03,AUR,AUR-RA,2624,60,1
2026-03,AUR,AUR-MA,1073,60,1
2026-03,MRD,MRD-CO,3982,60,1
2026-03,MRD,MRD-PR,4611,60,1
2026-03,MRD,MRD-SP,1886,60,1
2026-03,NOV,NOV-CO,3829,60,1
2026-03,NOV,NOV-PR,4434,60,1
2026-03,NOV,NOV-LO,1814,60,1
2026-03,LUM,LUM-AI,3990,60,1
2026-03,LUM,LUM-RA,4620,60,1
2026-03,LUM,LUM-SP,1890,60,1
