ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2026-01,TRN,TRN-CO,5681,60,1
2026-01,TRN,TRN-PR,6578,60,1
2026-01,TRN,TRN-SU,2691,60,1
2026-01,VST,VST-CO,5987,60,1
2026-01,VST,VST-PR,6933,60,1
2026-01,VST,VST-TR,2836,60,1
2026-01,AUR,AUR-AI,1994,60,1
2026-01,AUR,AUR-RA,2309,60,1
2026-01,AUR,AUR-MA,944,60,1
2026-01,MRD,MRD-CO,3703,60,1
2026-01,MRD,MRD-PR,4287,60,1
2026-01,MRD,MRD-SP,1754,60,1
2026-01,NOV,NOV-CO,3775,60,1
2026-01,NOV,NOV-PR,4371,60,1
2026-01,NOV,NOV-LO,1788,60,1
2026-01,LUM,LUM-AI,3754,60,1
2026-01,LUM,LUM-RA,4347,60,1
2026-01,LUM,LUM-SP,1778,60,1
