ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-03,TRN,TRN-CO,6401,60,1
2025-03,TRN,TRN-PR,7412,60,1
2025-03,TRN,TRN-SU,3032,60,1
2025-03,VST,VST-CO,6590,60,1
2025-03,VST,VST-PR,7630,60,1
2025-03,VST,VST-TR,3121,60,1
2025-03,AUR,AUR-AI,2435,60,1
2025-03,AUR,AUR-RA,2820,60,1
2025-03,AUR,AUR-MA,1154,60,1
2025-03,MRD,MRD-CO,3775,60,1
2025-03,MRD,MRD-PR,4371,60,1
2025-03,MRD,MRD-SP,1788,60,1
2025-03,NOV,NOV-CO,3799,60,1
2025-03,NOV,NOV-PR,4399,60,1
2025-03,NOV,NOV-LO,1800,60,1
2025-03,LUM,LUM-AI,3644,60,1
2025-03,LUM,LUM-RA,4219,60,1
2025-03,LUM,LUM-SP,1726,60,1
