ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-02,TRN,TRN-CO,4475,60,1
2024-02,TRN,TRN-PR,5181,60,1
2024-02,TRN,TRN-SU,2120,60,1
2024-02,VST,VST-CO,5224,60,1
2024-02,VST,VST-PR,6049,60,1
2024-02,VST,VST-TR,2474,60,1
2024-02,AUR,AUR-AI,1592,60,1
2024-02,AUR,AUR-RA,1844,60,1
2024-02,AUR,AUR-MA,754,60,1
2024-02,MRD,MRD-CO,4164,60,1
2024-02,MRD,MRD-PR,4822,60,1
2024-02,MRD,MRD-SP,1972,60,1
2024-02,NOV,NOV-CO,3237,60,1
2024-02,NOV,NOV-PR,3748,60,1
2024-02,NOV,NOV-LO,1533,60,1
2024-02,LUM,LUM-AI,3078,60,1
2024-02,LUM,LUM-RA,3563,60,1
2024-02,LUM,LUM-SP,1458,60,1
