ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2026-06,TRN,TRN-CO,5869,60,1
2026-06,TRN,TRN-PR,6796,60,1
2026-06,TRN,TRN-SU,2780,60,1
2026-06,VST,VST-CO,6858,60,1
2026-06,VST,VST-PR,7941,60,1
2026-06,VST,VST-TR,3249,60,1
2026-06,AUR,AUR-AI,2384,60,1
2026-06,AUR,AUR-RA,2760,60,1
2026-06,AUR,AUR-MA,1129,60,1
2026-06,MRD,MRD-CO,4245,60,1
2026-06,MRD,MRD-PR,4915,60,1
2026-06,MRD,MRD-SP,2011,60,1
2026-06,NOV,NOV-CO,3539,60,1
2026-06,NOV,NOV-PR,4098,60,1
2026-06,NOV,NOV-LO,1676,60,1
2026-06,LUM,LUM-AI,3990,60,1
2026-06,LUM,LUM-RA,4620,60,1
2026-06,LUM,LUM-SP,1890,60,1
