ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-02,TRN,TRN-CO,5496,60,1
2025-02,TRN,TRN-PR,6364,60,1
2025-02,TRN,TRN-SU,2603,60,1
2025-02,VST,VST-CO,5822,60,1
2025-02,VST,VST-PR,6741,60,1
2025-02,VST,VST-TR,2758,60,1
2025-02,AUR,AUR-AI,1992,60,1
2025-02,AUR,AUR-RA,2307,60,1
2025-02,AUR,AUR-MA,944,60,1
2025-02,MRD,MRD-CO,4128,60,1
2025-02,MRD,MRD-PR,4780,60,1
2025-02,MRD,MRD-SP,1955,60,1
2025-02,NOV,NOV-CO,3235,60,1
2025-02,NOV,NOV-PR,3746,60,1
2025-02,NOV,NOV-LO,1532,60,1
2025-02,LUM,LUM-AI,3286,60,1
2025-02,LUM,LUM-RA,3805,60,1
2025-02,LUM,LUM-SP,1556,60,1
