ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2025-10,TRN,TRN-CO,5581,60,1
2025-10,TRN,TRN-PR,6463,60,1
2025-10,TRN,TRN-SU,2644,60,1
2025-10,VST,VST-CO,5772,60,1
2025-10,VST,VST-PR,6683,60,1
2025-10,VST,VST-TR,2734,60,1
2025-10,AUR,AUR-AI,1956,60,1
2025-10,AUR,AUR-RA,2265,60,1
2025-10,AUR,AUR-MA,926,60,1
2025-10,MRD,MRD-CO,4109,60,1
2025-10,MRD,MRD-PR,4758,60,1
2025-10,MRD,MRD-SP,1946,60,1
2025-10,NOV,NOV-CO,3990,60,1
2025-10,NOV,NOV-PR,4620,60,1
2025-10,NOV,NOV-LO,1890,60,1
2025-10,LUM,LUM-AI,3990,60,1
2025-10,LUM,LUM-RA,4620,60,1
2025-10,LUM,LUM-SP,1890,60,1
