ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-04,TRN,TRN-CO,6108,60,1
2024-04,TRN,TRN-PR,7073,60,1
2024-04,TRN,TRN-SU,2893,60,1
2024-04,VST,VST-CO,6260,60,1
2024-04,VST,VST-PR,7248,60,1
2024-04,VST,VST-TR,2965,60,1
2024-04,AUR,AUR-AI,1935,60,1
2024-04,AUR,AUR-RA,2241,60,1
2024-04,AUR,AUR-MA,917,60,1
2024-04,MRD,MRD-CO,4225,60,1
2024-04,MRD,MRD-PR,4892,60,1
2024-04,MRD,MRD-SP,2001,60,1
2024-04,NOV,NOV-CO,3031,60,1
2024-04,NOV,NOV-PR,3510,60,1
2024-04,NOV,NOV-LO,1436,60,1
2024-04,LUM,LUM-AI,3058,60,1
2024-04,LUM,LUM-RA,3541,60,1
2024-04,LUM,LUM-SP,1449,60,1
