ym_order,model_id,trim_id,order_qty,target_ds_days,estimated
2024-01,TRN,TRN-CO,4268,60,1
2024-01,TRN,TRN-PR,4941,60,1
2024-01,TRN,TRN-SU,2021,60,1
2024-01,VST,VST-CO,4218,60,1
2024-01,VST,VST-PR,4884,60,1
2024-01,VST,VST-TR,1998,60,1
2024-01,AUR,AUR-AI,1288,60,1
2024-01,AUR,AUR-RA,1492,60,1
2024-01,AUR,AUR-MA,610,60,1
2024-01,MRD,MRD-CO,2984,60,1
2024-01,MRD,MRD-PR,3455,60,1
2024-01,MRD,MRD-SP,1413,60,1
2024-01,NOV,NOV-CO,3307,60,1
2024-01,NOV,NOV-PR,3829,60,1
2024-01,NOV,NOV-LO,1566,60,1
2024-01,LUM,LUM-AI,3377,60,1
2024-01,LUM,LUM-RA,3910,60,1
2024-01,LUM,LUM-SP,1599,60,1
