ym,activity_id,phase,gate_seq,gate_id,gate_name,gate_type,owner,status
2025-09,BP-1,bp,1,G1,BP 초안 생성,ai,AGT-BP,실행완료
2025-09,BP-1,bp,2,G2,계획 검토,hitl,기획 임원,승인
2025-09,BP-1,bp,3,G3,BP 승인,hitl,법인장,승인
2025-09,MKT-3,marketing,1,G1,예산 재배분,ai,AGT-MED,실행완료
2025-09,ORD-1,order,1,G1,DoS Weight 배분 초안,ai,AGT-ORD,실행완료
2025-09,ORD-1,order,2,G2,주문 승인,hitl,오더 매니저,승인
2025-09,ORD-1,order,3,G3,생산법인 전송,auto,시스템,실행완료
2025-09,SLS-1,sales,1,G1,도매·소매 정산,auto,시스템,실행완료
2025-09,QLT-1,quality,1,G1,VoC 분류·이슈 감지,ai,AGT-VOC,실행완료
2025-09,SVC-2,service,1,G1,워런티 정산,auto,시스템,실행완료
2025-09,PP-2,product,1,G1,MY 코드 전환,auto,시스템,실행완료
