ym,activity_id,phase,gate_seq,gate_id,gate_name,gate_type,owner,status
2024-12,MKT-1,marketing,1,G1,연간 플랜 초안,ai,AGT-MED,실행완료
2024-12,MKT-1,marketing,2,G2,플랜 승인,hitl,CMO,승인
2024-12,MKT-3,marketing,1,G1,예산 재배분,ai,AGT-MED,실행완료
2024-12,ORD-1,order,1,G1,DoS Weight 배분 초안,ai,AGT-ORD,실행완료
2024-12,ORD-1,order,2,G2,주문 승인,hitl,오더 매니저,승인
2024-12,ORD-1,order,3,G3,생산법인 전송,auto,시스템,실행완료
2024-12,SLS-1,sales,1,G1,도매·소매 정산,auto,시스템,실행완료
2024-12,SLS-2,sales,1,G1,프로그램 승인,hitl,세일즈 임원,승인
2024-12,QLT-1,quality,1,G1,VoC 분류·이슈 감지,ai,AGT-VOC,실행완료
2024-12,SVC-2,service,1,G1,워런티 정산,auto,시스템,실행완료
