prod_ym,vin,model_id,model_year,trim_id,engine,drivetrain,color,plant_id,dest_zone_id,msrp_usd
2025-05,VF3TSAAXSU0019904,TRN,2025,TRN-SU,3.5 가솔린,AWD,스노우 화이트,US-GA,west,59280
2025-05,VF3TCADXSU0019905,TRN,2025,TRN-CO,3.5 가솔린,AWD,실버,US-GA,west,47840
2025-05,VF3TCAFXSU0019906,TRN,2025,TRN-CO,3.5 가솔린,AWD,선셋 레드,US-GA,west,47840
2025-05,VF3TPADXSU0019907,TRN,2025,TRN-PR,3.5 가솔린,AWD,실버,US-GA,central,52000
2025-05,VF3TCAAXSU0019908,TRN,2025,TRN-CO,3.5 가솔린,AWD,스노우 화이트,US-GA,west,47840
2025-05,VF3TCFHXSU0019909,TRN,2025,TRN-CO,3.5 가솔린,FWD,샌드 베이지,US-GA,south,47840
2025-05,VF3TPAHXSU0019910,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,샌드 베이지,US-GA,central,52000
2025-05,VF3TCFBXSU0019911,TRN,2025,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,US-GA,south,47840
2025-05,VF3TPABXSU0019912,TRN,2025,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,US-GA,west,52000
2025-05,VF3TPAEXSU0019913,TRN,2025,TRN-PR,3.5 가솔린,AWD,오션 블루,US-GA,northeast,52000
2025-05,VF3TCFBXSU0019914,TRN,2025,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,US-GA,west,47840
2025-05,VF3TPAAXSU0019915,TRN,2025,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,52000
2025-05,VF3TPAFXSU0019916,TRN,2025,TRN-PR,3.5 가솔린,AWD,선셋 레드,US-GA,southeast,52000
2025-05,VF3TPAAXSU0019917,TRN,2025,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,52000
2025-05,VF3TCAAXSU0019918,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,US-GA,west,47840
2025-05,VF3TCABXSU0019919,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,US-GA,west,47840
2025-05,VF3TPABXSU0019920,TRN,2025,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,US-GA,central,52000
2025-05,VF3TCAAXSU0019921,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,US-GA,south,47840
2025-05,VF3TCFEXSU0019922,TRN,2025,TRN-CO,3.5 가솔린,FWD,오션 블루,US-GA,south,47840
2025-05,VF3TPABXSU0019923,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,미드나잇 블랙,US-GA,west,52000
2025-05,VF3TSAEXSU0019924,TRN,2025,TRN-SU,2.5T 하이브리드,AWD,오션 블루,US-GA,northeast,59280
2025-05,VF3TCFFXSU0019925,TRN,2025,TRN-CO,3.5 가솔린,FWD,선셋 레드,US-GA,southeast,47840
