prod_ym,vin,model_id,model_year,trim_id,engine,drivetrain,color,plant_id,dest_zone_id,msrp_usd
2024-05,VF3TCAAXRU0004543,TRN,2024,TRN-CO,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,47840
2024-05,VF3TCABXRU0004544,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,US-GA,south,47840
2024-05,VF3TCAGXRU0004545,TRN,2024,TRN-CO,3.5 가솔린,AWD,포레스트 그린,US-GA,central,47840
2024-05,VF3TPABXRU0004546,TRN,2024,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,US-GA,central,52000
2024-05,VF3TPFAXRU0004547,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,스노우 화이트,US-GA,southeast,52000
2024-05,VF3TCFBXRU0004548,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,US-GA,west,47840
2024-05,VF3TPFCXRU0004549,TRN,2024,TRN-PR,3.5 가솔린,FWD,스틸 그레이,US-GA,west,52000
2024-05,VF3TSADXRU0004550,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,실버,US-GA,south,59280
2024-05,VF3TCACXRU0004551,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,US-GA,central,47840
2024-05,VF3TPAAXRU0004552,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,US-GA,south,52000
2024-05,VF3TPFFXRU0004553,TRN,2024,TRN-PR,3.5 가솔린,FWD,선셋 레드,US-GA,southeast,52000
2024-05,VF3TPACXRU0004554,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스틸 그레이,US-GA,northeast,52000
2024-05,VF3TCADXRU0004555,TRN,2024,TRN-CO,3.5 가솔린,AWD,실버,US-GA,central,47840
2024-05,VF3TPACXRU0004556,TRN,2024,TRN-PR,3.5 가솔린,AWD,스틸 그레이,US-GA,west,52000
2024-05,VF3TSABXRU0004557,TRN,2024,TRN-SU,3.5 가솔린,AWD,미드나잇 블랙,US-GA,southeast,59280
2024-05,VF3TCAAXRU0004558,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,US-GA,south,47840
2024-05,VF3TSAAXRU0004559,TRN,2024,TRN-SU,3.5 가솔린,AWD,스노우 화이트,US-GA,south,59280
2024-05,VF3TPFBXRU0004560,TRN,2024,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,US-GA,south,52000
2024-05,VF3TCABXRU0004561,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,US-GA,southeast,47840
2024-05,VF3TCAFXRU0004562,TRN,2024,TRN-CO,3.5 가솔린,AWD,선셋 레드,US-GA,central,47840
2024-05,VF3TCAEXRU0004563,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,오션 블루,US-GA,northeast,47840
2024-05,VF3TSAHXRU0004564,TRN,2024,TRN-SU,3.5 가솔린,AWD,샌드 베이지,US-GA,southeast,59280
2024-05,VF3TSACXRU0004565,TRN,2024,TRN-SU,3.5 가솔린,AWD,스틸 그레이,US-GA,south,59280
2024-05,VF3TSFCXRU0004566,TRN,2024,TRN-SU,3.5 가솔린,FWD,스틸 그레이,US-GA,south,59280
2024-05,VF3TPFBXRU0004567,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,미드나잇 블랙,US-GA,southeast,52000
2024-05,VF3TPAFXRU0004568,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,선셋 레드,US-GA,central,52000
2024-05,VF3TCFBXRU0004569,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,US-GA,south,47840
2024-05,VF3TPABXRU0004570,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,미드나잇 블랙,US-GA,south,52000
2024-05,VF3TPFAXRU0004571,TRN,2024,TRN-PR,3.5 가솔린,FWD,스노우 화이트,US-GA,south,52000
2024-05,VF3TPFEXRU0004572,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,오션 블루,US-GA,southeast,52000
2024-05,VF3TPABXRU0004573,TRN,2024,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,US-GA,central,52000
2024-05,VF3TPACXRU0004574,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스틸 그레이,US-GA,west,52000
2024-05,VF3TSFCXRU0004575,TRN,2024,TRN-SU,2.5T 하이브리드,FWD,스틸 그레이,US-GA,west,59280
2024-05,VF3TPAAXRU0004576,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,52000
2024-05,VF3TCAEXRU0004577,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,오션 블루,US-GA,northeast,47840
2024-05,VF3TPABXRU0004578,TRN,2024,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,US-GA,south,52000
2024-05,VF3TPAHXRU0004579,TRN,2024,TRN-PR,3.5 가솔린,AWD,샌드 베이지,US-GA,south,52000
2024-05,VF3TCFDXRU0004580,TRN,2024,TRN-CO,3.5 가솔린,FWD,실버,US-GA,southeast,47840
2024-05,VF3TCAFXRU0004581,TRN,2024,TRN-CO,3.5 가솔린,AWD,선셋 레드,US-GA,central,47840
2024-05,VF3TPAHXRU0004582,TRN,2024,TRN-PR,3.5 가솔린,AWD,샌드 베이지,US-GA,west,52000
2024-05,VF3TSABXRU0004583,TRN,2024,TRN-SU,3.5 가솔린,AWD,미드나잇 블랙,US-GA,south,59280
2024-05,VF3TCAAXRU0004584,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,US-GA,northeast,47840
2024-05,VF3TSACXRU0004585,TRN,2024,TRN-SU,3.5 가솔린,AWD,스틸 그레이,US-GA,central,59280
2024-05,VF3TCAEXRU0004586,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,US-GA,west,47840
2024-05,VF3TSFEXRU0004587,TRN,2024,TRN-SU,3.5 가솔린,FWD,오션 블루,US-GA,south,59280
2024-05,VF3TSAAXRU0004588,TRN,2024,TRN-SU,3.5 가솔린,AWD,스노우 화이트,US-GA,southeast,59280
2024-05,VF3TPAAXRU0004589,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,south,52000
2024-05,VF3TPAAXRU0004590,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,US-GA,west,52000
2024-05,VF3TCADXRU0004591,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,실버,US-GA,southeast,47840
2024-05,VF3TCAEXRU0004592,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,US-GA,south,47840
2024-05,VF3TPAAXRU0004593,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,52000
2024-05,VF3TSFAXRU0004594,TRN,2024,TRN-SU,3.5 가솔린,FWD,스노우 화이트,US-GA,central,59280
2024-05,VF3TCACXRU0004595,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,US-GA,west,47840
2024-05,VF3TPAEXRU0004596,TRN,2024,TRN-PR,3.5 가솔린,AWD,오션 블루,US-GA,southeast,52000
2024-05,VF3TPAFXRU0004597,TRN,2024,TRN-PR,3.5 가솔린,AWD,선셋 레드,US-GA,west,52000
2024-05,VF3TPAGXRU0004598,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,포레스트 그린,US-GA,central,52000
2024-05,VF3TPAAXRU0004599,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,southeast,52000
2024-05,VF3TCAFXRU0004600,TRN,2024,TRN-CO,3.5 가솔린,AWD,선셋 레드,US-GA,southeast,47840
2024-05,VF3TPAAXRU0004601,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,west,52000
2024-05,VF3TSFBXRU0004602,TRN,2024,TRN-SU,3.5 가솔린,FWD,미드나잇 블랙,US-GA,south,59280
2024-05,VF3TSAEXRU0004603,TRN,2024,TRN-SU,3.5 가솔린,AWD,오션 블루,US-GA,south,59280
2024-05,VF3TCACXRU0004604,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,US-GA,central,47840
2024-05,VF3TPAGXRU0004605,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,포레스트 그린,US-GA,southeast,52000
2024-05,VF3TCAEXRU0004606,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,US-GA,south,47840
2024-05,VF3TCABXRU0004607,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,US-GA,west,47840
2024-05,VF3TPAAXRU0004608,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,US-GA,northeast,52000
2024-05,VF3TPAAXRU0004609,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,central,52000
2024-05,VF3TPAEXRU0004610,TRN,2024,TRN-PR,3.5 가솔린,AWD,오션 블루,US-GA,northeast,52000
2024-05,VF3TSAGXRU0004611,TRN,2024,TRN-SU,3.5 가솔린,AWD,포레스트 그린,US-GA,south,59280
2024-05,VF3TPFBXRU0004612,TRN,2024,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,US-GA,southeast,52000
2024-05,VF3TSAHXRU0004613,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,샌드 베이지,US-GA,northeast,59280
2024-05,VF3TCAAXRU0004614,TRN,2024,TRN-CO,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,47840
2024-05,VF3TCADXRU0004615,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,실버,US-GA,central,47840
2024-05,VF3TSAHXRU0004616,TRN,2024,TRN-SU,3.5 가솔린,AWD,샌드 베이지,US-GA,northeast,59280
2024-05,VF3TCFFXRU0004617,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,US-GA,south,47840
2024-05,VF3TCADXRU0004618,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,실버,US-GA,northeast,47840
2024-05,VF3TPADXRU0004619,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,실버,US-GA,southeast,52000
2024-05,VF3TPFCXRU0004620,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,스틸 그레이,US-GA,central,52000
2024-05,VF3TCAEXRU0004621,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,US-GA,west,47840
2024-05,VF3TSFBXRU0004622,TRN,2024,TRN-SU,2.5T 하이브리드,FWD,미드나잇 블랙,US-GA,southeast,59280
2024-05,VF3TSABXRU0004623,TRN,2024,TRN-SU,3.5 가솔린,AWD,미드나잇 블랙,US-GA,southeast,59280
2024-05,VF3TCACXRU0004624,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,US-GA,northeast,47840
2024-05,VF3TPFAXRU0004625,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,스노우 화이트,US-GA,west,52000
2024-05,VF3TCAFXRU0004626,TRN,2024,TRN-CO,3.5 가솔린,AWD,선셋 레드,US-GA,northeast,47840
2024-05,VF3TCFAXRU0004627,TRN,2024,TRN-CO,3.5 가솔린,FWD,스노우 화이트,US-GA,southeast,47840
2024-05,VF3TCACXRU0004628,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,US-GA,northeast,47840
2024-05,VF3TSFFXRU0004629,TRN,2024,TRN-SU,3.5 가솔린,FWD,선셋 레드,US-GA,south,59280
2024-05,VF3TPFAXRU0004630,TRN,2024,TRN-PR,3.5 가솔린,FWD,스노우 화이트,US-GA,south,52000
2024-05,VF3TSAHXRU0004631,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,샌드 베이지,US-GA,west,59280
2024-05,VF3TPAAXRU0004632,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,US-GA,south,52000
2024-05,VF3TSAEXRU0004633,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,오션 블루,US-GA,northeast,59280
2024-05,VF3TPAAXRU0004634,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,US-GA,central,52000
2024-05,VF3TPAGXRU0004635,TRN,2024,TRN-PR,3.5 가솔린,AWD,포레스트 그린,US-GA,northeast,52000
2024-05,VF3TCAEXRU0004636,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,US-GA,northeast,47840
2024-05,VF3TCAAXRU0004637,TRN,2024,TRN-CO,3.5 가솔린,AWD,스노우 화이트,US-GA,central,47840
2024-05,VF3TCABXRU0004638,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,US-GA,west,47840
2024-05,VF3TSABXRU0004639,TRN,2024,TRN-SU,3.5 가솔린,AWD,미드나잇 블랙,US-GA,south,59280
