prod_ym,vin,model_id,model_year,trim_id,engine,drivetrain,color,plant_id,dest_zone_id,msrp_usd
2026-05,VF3TCAAXTU0036329,TRN,2026,TRN-CO,3.5 가솔린,AWD,스노우 화이트,US-GA,central,47840
2026-05,VF3TSADXTU0036330,TRN,2026,TRN-SU,3.5 가솔린,AWD,실버,US-GA,southeast,59280
2026-05,VF3TSABXTU0036331,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,미드나잇 블랙,US-GA,west,59280
2026-05,VF3TCFAXTU0036332,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,US-GA,south,47840
2026-05,VF3TCFEXTU0036333,TRN,2026,TRN-CO,3.5 가솔린,FWD,오션 블루,US-GA,central,47840
2026-05,VF3TCAFXTU0036334,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,US-GA,central,47840
2026-05,VF3TCAFXTU0036335,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,US-GA,northeast,47840
2026-05,VF3TCABXTU0036336,TRN,2026,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,US-GA,west,47840
2026-05,VF3TSAAXTU0036337,TRN,2026,TRN-SU,3.5 가솔린,AWD,스노우 화이트,US-GA,south,59280
2026-05,VF3TCAHXTU0036338,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,US-GA,central,47840
2026-05,VF3TPADXTU0036339,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,실버,US-GA,south,52000
2026-05,VF3TCAHXTU0036340,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,US-GA,west,47840
2026-05,VF3TCAAXTU0036341,TRN,2026,TRN-CO,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,47840
2026-05,VF3TPFGXTU0036342,TRN,2026,TRN-PR,2.5T 하이브리드,FWD,포레스트 그린,US-GA,south,52000
2026-05,VF3TSFAXTU0036343,TRN,2026,TRN-SU,2.5T 하이브리드,FWD,스노우 화이트,US-GA,southeast,59280
2026-05,VF3TSAAXTU0036344,TRN,2026,TRN-SU,3.5 가솔린,AWD,스노우 화이트,US-GA,northeast,59280
2026-05,VF3TPAEXTU0036345,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,오션 블루,US-GA,central,52000
2026-05,VF3TSAFXTU0036346,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,선셋 레드,US-GA,southeast,59280
2026-05,VF3TPAAXTU0036347,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,US-GA,northeast,52000
2026-05,VF3TSABXTU0036348,TRN,2026,TRN-SU,2.5T 하이브리드,AWD,미드나잇 블랙,US-GA,northeast,59280
2026-05,VF3TCAAXTU0036349,TRN,2026,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,US-GA,west,47840
2026-05,VF3TPAAXTU0036350,TRN,2026,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,US-GA,central,52000
2026-05,VF3TCABXTU0036351,TRN,2026,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,US-GA,central,47840
2026-05,VF3TCFDXTU0036352,TRN,2026,TRN-CO,2.5T 하이브리드,FWD,실버,US-GA,southeast,47840
