ym,zone_id,model_id,model_year,trim_id,engine,drivetrain,color,bp_retail_qty,bp_wholesale_qty,bp_op_profit_usd
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,스노우 화이트,166,170,318871
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,132,134,252440
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,스틸 그레이,111,113,212581
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,실버,90,92,172722
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,오션 블루,69,71,132863
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,선셋 레드,55,57,106290
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,포레스트 그린,35,35,66431
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,샌드 베이지,35,35,66431
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,스노우 화이트,55,57,106290
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,44,45,84147
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,스틸 그레이,37,38,70860
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,실버,30,31,57574
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,오션 블루,23,24,44288
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,선셋 레드,18,19,35430
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,포레스트 그린,12,12,22144
2025-03,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,샌드 베이지,12,12,22144
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,116,119,223427
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,92,94,176879
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,78,79,148951
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,실버,63,64,121023
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,오션 블루,49,50,93094
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,39,40,74476
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,24,25,46547
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,24,25,46547
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,39,40,74476
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,31,31,58960
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,26,26,49650
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,실버,21,21,40341
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,오션 블루,16,17,31031
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,13,13,24825
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,8,8,15516
2025-03,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,8,8,15516
2025-03,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,스노우 화이트,193,196,441856
2025-03,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,152,155,349802
2025-03,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,스틸 그레이,128,131,294570
2025-03,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,실버,104,106,239338
2025-03,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,오션 블루,80,82,184107
2025-03,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,선셋 레드,64,65,147285
2025-03,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,포레스트 그린,40,41,92053
