ym,zone_id,model_id,model_year,trim_id,engine,drivetrain,color,bp_retail_qty,bp_wholesale_qty,bp_op_profit_usd
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,스노우 화이트,9,9,16626
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,7,7,13163
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,스틸 그레이,6,6,11084
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,실버,5,5,9006
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,오션 블루,4,4,6928
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,선셋 레드,3,3,5542
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,포레스트 그린,2,2,3464
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,AWD,샌드 베이지,2,2,3464
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,스노우 화이트,3,3,5542
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,2,2,4388
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,스틸 그레이,2,2,3695
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,실버,2,2,3002
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,오션 블루,1,1,2309
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,선셋 레드,1,1,1847
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,포레스트 그린,1,1,1155
2024-12,west,TRN,2024,TRN-CO,3.5 가솔린,FWD,샌드 베이지,1,1,1155
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,6,6,10541
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,4,4,8345
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,4,4,7027
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,실버,3,3,5710
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,오션 블루,2,2,4392
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,2,2,3514
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,1,1,2196
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,1,1,2196
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,2,2,3514
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,1,1,2782
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,1,1,2342
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,실버,1,1,1903
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,오션 블루,1,1,1464
2024-12,west,TRN,2024,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,1,1,1171
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,스노우 화이트,10,10,23080
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,8,8,18271
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,스틸 그레이,7,7,15386
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,실버,5,6,12501
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,오션 블루,4,4,9616
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,선셋 레드,3,3,7693
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,포레스트 그린,2,2,4808
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,AWD,샌드 베이지,2,2,4808
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,스노우 화이트,3,3,7693
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,3,3,6090
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,스틸 그레이,2,2,5129
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,실버,2,2,4167
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,오션 블루,1,1,3205
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,선셋 레드,1,1,2564
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,포레스트 그린,1,1,1603
2024-12,west,TRN,2024,TRN-PR,3.5 가솔린,FWD,샌드 베이지,1,1,1603
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,6,7,14632
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,미드나잇 블랙,5,5,11584
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,스틸 그레이,4,4,9755
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,실버,3,4,7926
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,오션 블루,3,3,6097
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,선셋 레드,2,2,4877
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,포레스트 그린,1,1,3048
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,AWD,샌드 베이지,1,1,3048
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,스노우 화이트,2,2,4877
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,미드나잇 블랙,2,2,3861
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,스틸 그레이,1,1,3252
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,실버,1,1,2642
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,오션 블루,1,1,2032
2024-12,west,TRN,2024,TRN-PR,2.5T 하이브리드,FWD,선셋 레드,1,1,1626
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,스노우 화이트,4,4,12182
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,미드나잇 블랙,3,3,9644
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,스틸 그레이,3,3,8121
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,실버,2,2,6599
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,오션 블루,2,2,5076
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,선셋 레드,1,1,4061
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,포레스트 그린,1,1,2538
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,AWD,샌드 베이지,1,1,2538
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,FWD,스노우 화이트,1,1,4061
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,FWD,미드나잇 블랙,1,1,3215
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,FWD,스틸 그레이,1,1,2707
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,FWD,실버,1,1,2200
2024-12,west,TRN,2024,TRN-SU,3.5 가솔린,FWD,오션 블루,1,1,1692
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,스노우 화이트,3,3,7723
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,미드나잇 블랙,2,2,6114
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,스틸 그레이,2,2,5149
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,실버,1,1,4183
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,오션 블루,1,1,3218
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,선셋 레드,1,1,2574
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,포레스트 그린,1,1,1609
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,AWD,샌드 베이지,1,1,1609
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,FWD,스노우 화이트,1,1,2574
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,FWD,미드나잇 블랙,1,1,2038
2024-12,west,TRN,2024,TRN-SU,2.5T 하이브리드,FWD,스틸 그레이,1,1,1716
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,스노우 화이트,166,170,315902
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,미드나잇 블랙,132,134,250089
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,스틸 그레이,111,113,210601
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,실버,90,92,171114
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,오션 블루,69,71,131626
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,선셋 레드,55,57,105301
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,포레스트 그린,35,35,65813
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,AWD,샌드 베이지,35,35,65813
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,스노우 화이트,55,57,105301
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,미드나잇 블랙,44,45,83363
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,스틸 그레이,37,38,70200
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,실버,30,31,57038
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,오션 블루,23,24,43875
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,선셋 레드,18,19,35100
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,포레스트 그린,12,12,21938
2024-12,west,TRN,2025,TRN-CO,3.5 가솔린,FWD,샌드 베이지,12,12,21938
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스노우 화이트,106,108,200278
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,미드나잇 블랙,84,85,158553
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,스틸 그레이,70,72,133518
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,실버,57,58,108484
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,오션 블루,44,45,83449
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,선셋 레드,35,36,66759
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,포레스트 그린,22,22,41725
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,AWD,샌드 베이지,22,22,41725
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,스노우 화이트,35,36,66759
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,미드나잇 블랙,28,28,52851
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,스틸 그레이,23,24,44506
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,실버,19,19,36161
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,오션 블루,15,15,27816
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,선셋 레드,12,12,22253
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,포레스트 그린,7,7,13908
2024-12,west,TRN,2025,TRN-CO,2.5T 하이브리드,FWD,샌드 베이지,7,7,13908
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,스노우 화이트,193,197,438511
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,미드나잇 블랙,153,156,347154
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,스틸 그레이,129,131,292341
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,실버,104,106,237527
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,오션 블루,80,82,182713
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,선셋 레드,64,66,146170
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,포레스트 그린,40,41,91356
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,AWD,샌드 베이지,40,41,91356
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,스노우 화이트,64,66,146170
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,미드나잇 블랙,51,52,115718
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,스틸 그레이,43,44,97447
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,실버,35,35,79176
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,오션 블루,27,27,60904
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,선셋 레드,21,22,48723
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,포레스트 그린,13,14,30452
2024-12,west,TRN,2025,TRN-PR,3.5 가솔린,FWD,샌드 베이지,13,14,30452
2024-12,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,스노우 화이트,122,125,278010
2024-12,west,TRN,2025,TRN-PR,2.5T 하이브리드,AWD,미드나잇 블랙,97,99,220091
