ym,model_id,trim_id,msrp_usd,incentive_usd_per_unit,program_note
2026-02,TRN,TRN-CO,47840,1225,기본
2026-02,TRN,TRN-PR,52000,1225,기본
2026-02,TRN,TRN-SU,59280,1225,기본
2026-02,VST,VST-CO,35420,1225,기본
2026-02,VST,VST-PR,38500,1225,기본
2026-02,VST,VST-TR,43890,1225,기본
2026-02,AUR,AUR-AI,54188,1525,기본
2026-02,AUR,AUR-RA,58900,1525,기본
2026-02,AUR,AUR-MA,67146,1525,기본
2026-02,MRD,MRD-CO,28704,1225,기본
2026-02,MRD,MRD-PR,31200,1225,기본
2026-02,MRD,MRD-SP,35568,1225,기본
2026-02,NOV,NOV-CO,40756,1225,기본
2026-02,NOV,NOV-PR,44300,1225,기본
2026-02,NOV,NOV-LO,50502,1225,기본
2026-02,LUM,LUM-AI,39284,1525,기본
2026-02,LUM,LUM-RA,42700,1525,기본
2026-02,LUM,LUM-SP,48678,1525,기본
