ym,model_id,trim_id,msrp_usd,incentive_usd_per_unit,program_note
2024-11,TRN,TRN-CO,47840,1700,연말 프로그램
2024-11,TRN,TRN-PR,52000,1700,연말 프로그램
2024-11,TRN,TRN-SU,59280,1700,연말 프로그램
2024-11,VST,VST-CO,35420,1700,연말 프로그램
2024-11,VST,VST-PR,38500,1700,연말 프로그램
2024-11,VST,VST-TR,43890,1700,연말 프로그램
2024-11,AUR,AUR-AI,54188,2000,연말 프로그램
2024-11,AUR,AUR-RA,58900,2000,연말 프로그램
2024-11,AUR,AUR-MA,67146,2000,연말 프로그램
2024-11,MRD,MRD-CO,28704,1700,연말 프로그램
2024-11,MRD,MRD-PR,31200,1700,연말 프로그램
2024-11,MRD,MRD-SP,35568,1700,연말 프로그램
2024-11,NOV,NOV-CO,40756,1700,연말 프로그램
2024-11,NOV,NOV-PR,44300,1700,연말 프로그램
2024-11,NOV,NOV-LO,50502,1700,연말 프로그램
2024-11,LUM,LUM-AI,39284,2000,연말 프로그램
2024-11,LUM,LUM-RA,42700,2000,연말 프로그램
2024-11,LUM,LUM-SP,48678,2000,연말 프로그램
