ym,model_id,trim_id,msrp_usd,incentive_usd_per_unit,program_note
2024-04,TRN,TRN-CO,47840,1200,기본
2024-04,TRN,TRN-PR,52000,1200,기본
2024-04,TRN,TRN-SU,59280,1200,기본
2024-04,VST,VST-CO,35420,1200,기본
2024-04,VST,VST-PR,38500,1200,기본
2024-04,VST,VST-TR,43890,1200,기본
2024-04,AUR,AUR-AI,54188,1500,기본
2024-04,AUR,AUR-RA,58900,1500,기본
2024-04,AUR,AUR-MA,67146,1500,기본
2024-04,MRD,MRD-CO,28704,1200,기본
2024-04,MRD,MRD-PR,31200,1200,기본
2024-04,MRD,MRD-SP,35568,1200,기본
2024-04,NOV,NOV-CO,40756,1200,기본
2024-04,NOV,NOV-PR,44300,1200,기본
2024-04,NOV,NOV-LO,50502,1200,기본
2024-04,LUM,LUM-AI,39284,1500,기본
2024-04,LUM,LUM-RA,42700,1500,기본
2024-04,LUM,LUM-SP,48678,1500,기본
