ym,model_id,trim_id,msrp_usd,incentive_usd_per_unit,program_note
2025-10,TRN,TRN-CO,47840,1225,기본
2025-10,TRN,TRN-PR,52000,1225,기본
2025-10,TRN,TRN-SU,59280,1225,기본
2025-10,VST,VST-CO,35420,1225,기본
2025-10,VST,VST-PR,38500,1225,기본
2025-10,VST,VST-TR,43890,1225,기본
2025-10,AUR,AUR-AI,54188,1525,기본
2025-10,AUR,AUR-RA,58900,1525,기본
2025-10,AUR,AUR-MA,67146,1525,기본
2025-10,MRD,MRD-CO,28704,1925,기본
2025-10,MRD,MRD-PR,31200,1925,기본
2025-10,MRD,MRD-SP,35568,1925,기본
2025-10,NOV,NOV-CO,40756,1225,기본
2025-10,NOV,NOV-PR,44300,1225,기본
2025-10,NOV,NOV-LO,50502,1225,기본
2025-10,LUM,LUM-AI,39284,1525,기본
2025-10,LUM,LUM-RA,42700,1525,기본
2025-10,LUM,LUM-SP,48678,1525,기본
