ym,model_id,trim_id,msrp_usd,incentive_usd_per_unit,program_note
2026-08,TRN,TRN-CO,47840,1175,기본
2026-08,TRN,TRN-PR,52000,1175,기본
2026-08,TRN,TRN-SU,59280,1175,기본
2026-08,VST,VST-CO,35420,1175,기본
2026-08,VST,VST-PR,38500,1175,기본
2026-08,VST,VST-TR,43890,1175,기본
2026-08,AUR,AUR-AI,54188,1475,기본
2026-08,AUR,AUR-RA,58900,1475,기본
2026-08,AUR,AUR-MA,67146,1475,기본
2026-08,MRD,MRD-CO,28704,1175,기본
2026-08,MRD,MRD-PR,31200,1175,기본
2026-08,MRD,MRD-SP,35568,1175,기본
2026-08,NOV,NOV-CO,40756,1175,기본
2026-08,NOV,NOV-PR,44300,1175,기본
2026-08,NOV,NOV-LO,50502,1175,기본
2026-08,LUM,LUM-AI,39284,1475,기본
2026-08,LUM,LUM-RA,42700,1475,기본
2026-08,LUM,LUM-SP,48678,1475,기본
