ym,model_id,trim_id,msrp_usd,incentive_usd_per_unit,program_note
2025-12,TRN,TRN-CO,47840,1650,연말 프로그램
2025-12,TRN,TRN-PR,52000,1650,연말 프로그램
2025-12,TRN,TRN-SU,59280,1650,연말 프로그램
2025-12,VST,VST-CO,35420,1650,연말 프로그램
2025-12,VST,VST-PR,38500,1650,연말 프로그램
2025-12,VST,VST-TR,43890,1650,연말 프로그램
2025-12,AUR,AUR-AI,54188,1950,연말 프로그램
2025-12,AUR,AUR-RA,58900,1950,연말 프로그램
2025-12,AUR,AUR-MA,67146,1950,연말 프로그램
2025-12,MRD,MRD-CO,28704,2350,연말 프로그램
2025-12,MRD,MRD-PR,31200,2350,연말 프로그램
2025-12,MRD,MRD-SP,35568,2350,연말 프로그램
2025-12,NOV,NOV-CO,40756,1650,연말 프로그램
2025-12,NOV,NOV-PR,44300,1650,연말 프로그램
2025-12,NOV,NOV-LO,50502,1650,연말 프로그램
2025-12,LUM,LUM-AI,39284,1950,연말 프로그램
2025-12,LUM,LUM-RA,42700,1950,연말 프로그램
2025-12,LUM,LUM-SP,48678,1950,연말 프로그램
