ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-08,동관,1,E1-LOB,로비·안내,공용,900,23.0,12056,8730,7644,4500
2024-08,동관,1,E1-CAF,카페테리아,공용,700,23.0,10018,7254,6423,3739
2024-08,동관,1,E1-OFA,사무 A,사무,1400,22.0,21880,15844,15260,8167
2024-08,동관,1,E1-MTG,회의실 존,회의,600,22.5,8074,5847,5588,3014
2024-08,동관,1,E1-SRV,서버실,항온,400,20.0,15657,11338,0,5845
2024-08,동관,2,E2-OFA,사무 A,사무,1500,22.0,22663,16411,15899,8459
2024-08,동관,2,E2-OFB,사무 B,사무,1300,22.0,19019,13772,12854,7099
2024-08,동관,2,E2-MTG,회의실 존,회의,500,22.5,6496,4704,4417,2425
2024-08,동관,2,E2-COM,공용,공용,300,23.0,4031,2919,2538,1505
2024-08,동관,3,E3-OFA,사무 A,사무,1500,22.0,23240,16829,16271,8675
2024-08,동관,3,E3-OFB,사무 B,사무,1200,22.0,18452,13362,13055,6888
2024-08,동관,3,E3-EXE,임원실,사무,600,22.0,9421,6822,6659,3517
2024-08,동관,3,E3-COM,공용,공용,300,23.0,4029,2917,2509,1504
2024-08,서관,1,W1-TRN,교육장,회의,1100,22.5,14666,10620,10073,5475
2024-08,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,12272,8886,7706,4581
2024-08,서관,1,W1-OFA,사무 A,사무,1000,22.0,15237,11034,10773,5688
2024-08,서관,1,W1-COM,공용,공용,400,23.0,5444,3942,3399,2032
2024-08,서관,2,W2-OFA,사무 A,사무,1400,22.0,21080,15265,14569,7869
2024-08,서관,2,W2-OFB,사무 B,사무,1200,22.0,17952,13000,12148,6701
2024-08,서관,2,W2-MTG,회의실 존,회의,500,22.5,7276,5269,5183,2716
2024-08,서관,2,W2-COM,공용,공용,300,23.0,3991,2890,2471,1490
2024-08,서관,3,W3-CC,콜센터,사무,1300,22.0,19781,14324,13494,7384
2024-08,서관,3,W3-OFA,사무 A,사무,1100,22.0,17188,12446,11967,6416
2024-08,서관,3,W3-COM,공용,공용,400,23.0,5216,3777,3201,1947
