ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-08,동관,1,E1-LOB,로비·안내,공용,900,23.0,12188,8825,7561,4549
2025-08,동관,1,E1-CAF,카페테리아,공용,700,23.0,9611,6960,5914,3587
2025-08,동관,1,E1-OFA,사무 A,사무,1400,22.0,20699,14989,14102,7726
2025-08,동관,1,E1-MTG,회의실 존,회의,600,22.5,7912,5729,5480,2953
2025-08,동관,1,E1-SRV,서버실,항온,400,20.0,15830,11463,0,5909
2025-08,동관,2,E2-OFA,사무 A,사무,1500,22.0,23515,17028,16455,8777
2025-08,동관,2,E2-OFB,사무 B,사무,1300,22.0,19929,14431,13761,7439
2025-08,동관,2,E2-MTG,회의실 존,회의,500,22.5,6963,5042,4913,2599
2025-08,동관,2,E2-COM,공용,공용,300,23.0,4064,2943,2533,1517
2025-08,동관,3,E3-OFA,사무 A,사무,1500,22.0,21281,15410,14423,7944
2025-08,동관,3,E3-OFB,사무 B,사무,1200,22.0,18246,13213,12622,6811
2025-08,동관,3,E3-EXE,임원실,사무,600,22.0,9088,6581,6307,3392
2025-08,동관,3,E3-COM,공용,공용,300,23.0,4126,2988,2610,1540
2025-08,서관,1,W1-TRN,교육장,회의,1100,22.5,14821,10732,10220,5532
2025-08,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,12348,8942,7707,4609
2025-08,서관,1,W1-OFA,사무 A,사무,1000,22.0,14644,10604,10288,5466
2025-08,서관,1,W1-COM,공용,공용,400,23.0,5332,3861,3281,1990
2025-08,서관,2,W2-OFA,사무 A,사무,1400,22.0,21021,15222,14557,7846
2025-08,서관,2,W2-OFB,사무 B,사무,1200,22.0,18861,13658,13262,7040
2025-08,서관,2,W2-MTG,회의실 존,회의,500,22.5,6737,4878,4673,2515
2025-08,서관,2,W2-COM,공용,공용,300,23.0,4158,3011,2575,1552
2025-08,서관,3,W3-CC,콜센터,사무,1300,22.0,20525,14863,14268,7661
2025-08,서관,3,W3-OFA,사무 A,사무,1100,22.0,17307,12533,12300,6460
2025-08,서관,3,W3-COM,공용,공용,400,23.0,5351,3875,3258,1997
