ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-04,동관,1,E1-LOB,로비·안내,공용,900,24.0,8203,5940,3792,3062
2025-04,동관,1,E1-CAF,카페테리아,공용,700,24.0,6374,4616,2794,2379
2025-04,동관,1,E1-OFA,사무 A,사무,1400,23.0,13500,9776,7113,5039
2025-04,동관,1,E1-MTG,회의실 존,회의,600,23.5,5082,3680,2599,1897
2025-04,동관,1,E1-SRV,서버실,항온,400,20.0,14010,10146,0,5230
2025-04,동관,2,E2-OFA,사무 A,사무,1500,23.0,14114,10220,7145,5268
2025-04,동관,2,E2-OFB,사무 B,사무,1300,23.0,12858,9311,6765,4800
2025-04,동관,2,E2-MTG,회의실 존,회의,500,23.5,4447,3220,2356,1660
2025-04,동관,2,E2-COM,공용,공용,300,24.0,2738,1983,1207,1022
2025-04,동관,3,E3-OFA,사무 A,사무,1500,23.0,14054,10177,7154,5246
2025-04,동관,3,E3-OFB,사무 B,사무,1200,23.0,11446,8289,5934,4273
2025-04,동관,3,E3-EXE,임원실,사무,600,23.0,5999,4344,3168,2239
2025-04,동관,3,E3-COM,공용,공용,300,24.0,2739,1984,1211,1023
2025-04,서관,1,W1-TRN,교육장,회의,1100,23.5,9627,6971,4916,3593
2025-04,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,8317,6023,3768,3105
2025-04,서관,1,W1-OFA,사무 A,사무,1000,23.0,9838,7124,5255,3672
2025-04,서관,1,W1-COM,공용,공용,400,24.0,3505,2538,1489,1308
2025-04,서관,2,W2-OFA,사무 A,사무,1400,23.0,13527,9796,7140,5049
2025-04,서관,2,W2-OFB,사무 B,사무,1200,23.0,11496,8325,5669,4291
2025-04,서관,2,W2-MTG,회의실 존,회의,500,23.5,4452,3224,2334,1662
2025-04,서관,2,W2-COM,공용,공용,300,24.0,2833,2051,1306,1057
2025-04,서관,3,W3-CC,콜센터,사무,1300,23.0,13156,9527,7013,4911
2025-04,서관,3,W3-OFA,사무 A,사무,1100,23.0,10767,7797,5494,4019
2025-04,서관,3,W3-COM,공용,공용,400,24.0,3753,2718,1745,1401
