ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-11,동관,1,E1-LOB,로비·안내,공용,900,24.0,8162,5910,3485,3047
2025-11,동관,1,E1-CAF,카페테리아,공용,700,24.0,6254,4529,2546,2335
2025-11,동관,1,E1-OFA,사무 A,사무,1400,23.0,12430,9001,5802,4640
2025-11,동관,1,E1-MTG,회의실 존,회의,600,23.5,4823,3493,2303,1800
2025-11,동관,1,E1-SRV,서버실,항온,400,20.0,14152,10248,0,5282
2025-11,동관,2,E2-OFA,사무 A,사무,1500,23.0,14124,10227,7016,5272
2025-11,동관,2,E2-OFB,사무 B,사무,1300,23.0,12179,8820,5983,4546
2025-11,동관,2,E2-MTG,회의실 존,회의,500,23.5,4131,2992,2054,1542
2025-11,동관,2,E2-COM,공용,공용,300,24.0,2558,1852,1022,955
2025-11,동관,3,E3-OFA,사무 A,사무,1500,23.0,13337,9658,6258,4978
2025-11,동관,3,E3-OFB,사무 B,사무,1200,23.0,10669,7726,5023,3982
2025-11,동관,3,E3-EXE,임원실,사무,600,23.0,5687,4118,2888,2123
2025-11,동관,3,E3-COM,공용,공용,300,24.0,2729,1976,1206,1019
2025-11,서관,1,W1-TRN,교육장,회의,1100,23.5,8968,6494,4475,3347
2025-11,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,7775,5630,3261,2902
2025-11,서관,1,W1-OFA,사무 A,사무,1000,23.0,9404,6810,4776,3510
2025-11,서관,1,W1-COM,공용,공용,400,24.0,3398,2461,1366,1268
2025-11,서관,2,W2-OFA,사무 A,사무,1400,23.0,13229,9580,6689,4938
2025-11,서관,2,W2-OFB,사무 B,사무,1200,23.0,10992,7959,5283,4103
2025-11,서관,2,W2-MTG,회의실 존,회의,500,23.5,4102,2970,1971,1531
2025-11,서관,2,W2-COM,공용,공용,300,24.0,2583,1871,1108,964
2025-11,서관,3,W3-CC,콜센터,사무,1300,23.0,12278,8891,6350,4583
2025-11,서관,3,W3-OFA,사무 A,사무,1100,23.0,10028,7262,4787,3743
2025-11,서관,3,W3-COM,공용,공용,400,24.0,3417,2475,1387,1276
