ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-03,동관,1,E1-LOB,로비·안내,공용,900,24.0,6921,5012,2631,2583
2025-03,동관,1,E1-CAF,카페테리아,공용,700,24.0,5745,4160,2157,2145
2025-03,동관,1,E1-OFA,사무 A,사무,1400,23.0,12084,8751,5367,4511
2025-03,동관,1,E1-MTG,회의실 존,회의,600,23.5,4510,3266,2006,1683
2025-03,동관,1,E1-SRV,서버실,항온,400,20.0,14206,10287,0,5303
2025-03,동관,2,E2-OFA,사무 A,사무,1500,23.0,13125,9504,5975,4899
2025-03,동관,2,E2-OFB,사무 B,사무,1300,23.0,10736,7774,4556,4007
2025-03,동관,2,E2-MTG,회의실 존,회의,500,23.5,3807,2757,1721,1421
2025-03,동관,2,E2-COM,공용,공용,300,24.0,2548,1845,940,951
2025-03,동관,3,E3-OFA,사무 A,사무,1500,23.0,12523,9068,5497,4674
2025-03,동관,3,E3-OFB,사무 B,사무,1200,23.0,10052,7279,4426,3752
2025-03,동관,3,E3-EXE,임원실,사무,600,23.0,4904,3551,2187,1831
2025-03,동관,3,E3-COM,공용,공용,300,24.0,2346,1699,886,876
2025-03,서관,1,W1-TRN,교육장,회의,1100,23.5,8383,6070,3817,3129
2025-03,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,7470,5410,2836,2789
2025-03,서관,1,W1-OFA,사무 A,사무,1000,23.0,8542,6185,3869,3188
2025-03,서관,1,W1-COM,공용,공용,400,24.0,3291,2383,1271,1228
2025-03,서관,2,W2-OFA,사무 A,사무,1400,23.0,11932,8641,5230,4454
2025-03,서관,2,W2-OFB,사무 B,사무,1200,23.0,10097,7312,4335,3769
2025-03,서관,2,W2-MTG,회의실 존,회의,500,23.5,3853,2790,1748,1438
2025-03,서관,2,W2-COM,공용,공용,300,24.0,2497,1808,962,932
2025-03,서관,3,W3-CC,콜센터,사무,1300,23.0,11073,8018,5076,4133
2025-03,서관,3,W3-OFA,사무 A,사무,1100,23.0,9388,6798,4406,3504
2025-03,서관,3,W3-COM,공용,공용,400,24.0,3358,2432,1223,1254
