ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-10,동관,1,E1-LOB,로비·안내,공용,900,24.0,8898,6443,4257,3321
2025-10,동관,1,E1-CAF,카페테리아,공용,700,24.0,6791,4918,3217,2535
2025-10,동관,1,E1-OFA,사무 A,사무,1400,23.0,14585,10562,8102,5444
2025-10,동관,1,E1-MTG,회의실 존,회의,600,23.5,5665,4102,3134,2115
2025-10,동관,1,E1-SRV,서버실,항온,400,20.0,14502,10502,0,5413
2025-10,동관,2,E2-OFA,사무 A,사무,1500,23.0,16152,11696,9253,6029
2025-10,동관,2,E2-OFB,사무 B,사무,1300,23.0,13512,9784,7314,5044
2025-10,동관,2,E2-MTG,회의실 존,회의,500,23.5,4584,3320,2531,1711
2025-10,동관,2,E2-COM,공용,공용,300,24.0,2974,2154,1442,1110
2025-10,동관,3,E3-OFA,사무 A,사무,1500,23.0,15380,11137,8551,5741
2025-10,동관,3,E3-OFB,사무 B,사무,1200,23.0,12421,8995,7009,4637
2025-10,동관,3,E3-EXE,임원실,사무,600,23.0,6238,4517,3438,2329
2025-10,동관,3,E3-COM,공용,공용,300,24.0,2859,2071,1342,1067
2025-10,서관,1,W1-TRN,교육장,회의,1100,23.5,10643,7707,6222,3973
2025-10,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,8648,6262,4115,3228
2025-10,서관,1,W1-OFA,사무 A,사무,1000,23.0,10649,7712,6031,3975
2025-10,서관,1,W1-COM,공용,공용,400,24.0,3935,2850,1924,1469
2025-10,서관,2,W2-OFA,사무 A,사무,1400,23.0,13920,10080,7537,5196
2025-10,서관,2,W2-OFB,사무 B,사무,1200,23.0,13108,9492,7645,4893
2025-10,서관,2,W2-MTG,회의실 존,회의,500,23.5,4757,3445,2571,1776
2025-10,서관,2,W2-COM,공용,공용,300,24.0,2968,2149,1390,1108
2025-10,서관,3,W3-CC,콜센터,사무,1300,23.0,13008,9420,7023,4856
2025-10,서관,3,W3-OFA,사무 A,사무,1100,23.0,11328,8203,6070,4229
2025-10,서관,3,W3-COM,공용,공용,400,24.0,4055,2937,1948,1514
