ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-09,동관,1,E1-LOB,로비·안내,공용,900,23.0,10619,7690,5996,3964
2024-09,동관,1,E1-CAF,카페테리아,공용,700,23.0,8318,6023,4654,3105
2024-09,동관,1,E1-OFA,사무 A,사무,1400,22.0,18159,13150,11642,6778
2024-09,동관,1,E1-MTG,회의실 존,회의,600,22.5,6938,5024,4395,2590
2024-09,동관,1,E1-SRV,서버실,항온,400,20.0,14618,10586,0,5457
2024-09,동관,2,E2-OFA,사무 A,사무,1500,22.0,19904,14413,12940,7430
2024-09,동관,2,E2-OFB,사무 B,사무,1300,22.0,16420,11890,10540,6129
2024-09,동관,2,E2-MTG,회의실 존,회의,500,22.5,6117,4430,3968,2283
2024-09,동관,2,E2-COM,공용,공용,300,23.0,3494,2530,1956,1304
2024-09,동관,3,E3-OFA,사무 A,사무,1500,22.0,19685,14255,12692,7348
2024-09,동관,3,E3-OFB,사무 B,사무,1200,22.0,15453,11190,9880,5768
2024-09,동관,3,E3-EXE,임원실,사무,600,22.0,7684,5564,4950,2868
2024-09,동관,3,E3-COM,공용,공용,300,23.0,3456,2503,1982,1290
2024-09,서관,1,W1-TRN,교육장,회의,1100,22.5,12761,9241,8207,4763
2024-09,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,10712,7757,6156,3998
2024-09,서관,1,W1-OFA,사무 A,사무,1000,22.0,13799,9992,9116,5151
2024-09,서관,1,W1-COM,공용,공용,400,23.0,4697,3401,2662,1753
2024-09,서관,2,W2-OFA,사무 A,사무,1400,22.0,18487,13387,12205,6901
2024-09,서관,2,W2-OFB,사무 B,사무,1200,22.0,15833,11465,10294,5910
2024-09,서관,2,W2-MTG,회의실 존,회의,500,22.5,5716,4139,3697,2134
2024-09,서관,2,W2-COM,공용,공용,300,23.0,3542,2565,2020,1322
2024-09,서관,3,W3-CC,콜센터,사무,1300,22.0,15921,11529,9626,5943
2024-09,서관,3,W3-OFA,사무 A,사무,1100,22.0,13543,9807,8496,5055
2024-09,서관,3,W3-COM,공용,공용,400,23.0,4635,3356,2654,1730
