ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-04,동관,1,E1-LOB,로비·안내,공용,900,24.0,8173,5918,3629,3051
2024-04,동관,1,E1-CAF,카페테리아,공용,700,24.0,6404,4637,2878,2390
2024-04,동관,1,E1-OFA,사무 A,사무,1400,23.0,13858,10035,7374,5173
2024-04,동관,1,E1-MTG,회의실 존,회의,600,23.5,5345,3871,2784,1995
2024-04,동관,1,E1-SRV,서버실,항온,400,20.0,13945,10098,0,5205
2024-04,동관,2,E2-OFA,사무 A,사무,1500,23.0,14151,10248,7114,5282
2024-04,동관,2,E2-OFB,사무 B,사무,1300,23.0,13163,9532,7131,4914
2024-04,동관,2,E2-MTG,회의실 존,회의,500,23.5,4389,3178,2323,1638
2024-04,동관,2,E2-COM,공용,공용,300,24.0,2653,1921,1187,990
2024-04,동관,3,E3-OFA,사무 A,사무,1500,23.0,15184,10995,8247,5668
2024-04,동관,3,E3-OFB,사무 B,사무,1200,23.0,11704,8475,6173,4369
2024-04,동관,3,E3-EXE,임원실,사무,600,23.0,6202,4491,3351,2315
2024-04,동관,3,E3-COM,공용,공용,300,24.0,2729,1976,1213,1019
2024-04,서관,1,W1-TRN,교육장,회의,1100,23.5,9402,6808,4835,3509
2024-04,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,8456,6123,3806,3156
2024-04,서관,1,W1-OFA,사무 A,사무,1000,23.0,9701,7025,4965,3621
2024-04,서관,1,W1-COM,공용,공용,400,24.0,3581,2593,1544,1337
2024-04,서관,2,W2-OFA,사무 A,사무,1400,23.0,13440,9733,6904,5017
2024-04,서관,2,W2-OFB,사무 B,사무,1200,23.0,11592,8394,5931,4327
2024-04,서관,2,W2-MTG,회의실 존,회의,500,23.5,4406,3191,2294,1645
2024-04,서관,2,W2-COM,공용,공용,300,24.0,2767,2004,1264,1033
2024-04,서관,3,W3-CC,콜센터,사무,1300,23.0,12766,9244,6709,4765
2024-04,서관,3,W3-OFA,사무 A,사무,1100,23.0,11218,8123,6063,4187
2024-04,서관,3,W3-COM,공용,공용,400,24.0,3691,2673,1630,1378
