ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-06,동관,1,E1-LOB,로비·안내,공용,900,23.0,10868,7870,6422,4057
2025-06,동관,1,E1-CAF,카페테리아,공용,700,23.0,8534,6179,4919,3185
2025-06,동관,1,E1-OFA,사무 A,사무,1400,22.0,18237,13206,11560,6807
2025-06,동관,1,E1-MTG,회의실 존,회의,600,22.5,7121,5157,4586,2658
2025-06,동관,1,E1-SRV,서버실,항온,400,20.0,14989,10854,0,5595
2025-06,동관,2,E2-OFA,사무 A,사무,1500,22.0,19592,14187,12764,7313
2025-06,동관,2,E2-OFB,사무 B,사무,1300,22.0,16398,11874,10316,6121
2025-06,동관,2,E2-MTG,회의실 존,회의,500,22.5,6336,4588,4254,2365
2025-06,동관,2,E2-COM,공용,공용,300,23.0,3651,2644,2155,1363
2025-06,동관,3,E3-OFA,사무 A,사무,1500,22.0,19154,13870,12289,7150
2025-06,동관,3,E3-OFB,사무 B,사무,1200,22.0,15879,11499,10502,5927
2025-06,동관,3,E3-EXE,임원실,사무,600,22.0,7947,5755,5120,2966
2025-06,동관,3,E3-COM,공용,공용,300,23.0,3364,2436,1850,1256
2025-06,서관,1,W1-TRN,교육장,회의,1100,22.5,12982,9401,8468,4846
2025-06,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,10810,7828,6266,4035
2025-06,서관,1,W1-OFA,사무 A,사무,1000,22.0,12550,9088,8016,4685
2025-06,서관,1,W1-COM,공용,공용,400,23.0,4866,3523,2839,1816
2025-06,서관,2,W2-OFA,사무 A,사무,1400,22.0,18989,13751,12512,7088
2025-06,서관,2,W2-OFB,사무 B,사무,1200,22.0,15628,11317,10067,5834
2025-06,서관,2,W2-MTG,회의실 존,회의,500,22.5,6047,4379,3955,2257
2025-06,서관,2,W2-COM,공용,공용,300,23.0,3553,2573,2059,1326
2025-06,서관,3,W3-CC,콜센터,사무,1300,22.0,16274,11785,10210,6075
2025-06,서관,3,W3-OFA,사무 A,사무,1100,22.0,14043,10169,9102,5242
2025-06,서관,3,W3-COM,공용,공용,400,23.0,4714,3414,2725,1760
