ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-07,동관,1,E1-LOB,로비·안내,공용,900,23.0,12178,8818,7550,4546
2025-07,동관,1,E1-CAF,카페테리아,공용,700,23.0,9789,7088,6165,3654
2025-07,동관,1,E1-OFA,사무 A,사무,1400,22.0,21029,15228,14337,7850
2025-07,동관,1,E1-MTG,회의실 존,회의,600,22.5,7879,5706,5390,2941
2025-07,동관,1,E1-SRV,서버실,항온,400,20.0,15202,11009,0,5675
2025-07,동관,2,E2-OFA,사무 A,사무,1500,22.0,21492,15563,14666,8022
2025-07,동관,2,E2-OFB,사무 B,사무,1300,22.0,19133,13855,13169,7142
2025-07,동관,2,E2-MTG,회의실 존,회의,500,22.5,6393,4630,4370,2386
2025-07,동관,2,E2-COM,공용,공용,300,23.0,4155,3009,2591,1551
2025-07,동관,3,E3-OFA,사무 A,사무,1500,22.0,21918,15872,15332,8182
2025-07,동관,3,E3-OFB,사무 B,사무,1200,22.0,18843,13645,13531,7034
2025-07,동관,3,E3-EXE,임원실,사무,600,22.0,8872,6425,6143,3312
2025-07,동관,3,E3-COM,공용,공용,300,23.0,3861,2796,2343,1441
2025-07,서관,1,W1-TRN,교육장,회의,1100,22.5,14560,10543,10046,5435
2025-07,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,11646,8433,7009,4347
2025-07,서관,1,W1-OFA,사무 A,사무,1000,22.0,14333,10379,9870,5350
2025-07,서관,1,W1-COM,공용,공용,400,23.0,5560,4026,3423,2075
2025-07,서관,2,W2-OFA,사무 A,사무,1400,22.0,19944,14442,13405,7445
2025-07,서관,2,W2-OFB,사무 B,사무,1200,22.0,19013,13768,13457,7097
2025-07,서관,2,W2-MTG,회의실 존,회의,500,22.5,6524,4724,4462,2435
2025-07,서관,2,W2-COM,공용,공용,300,23.0,3924,2842,2397,1465
2025-07,서관,3,W3-CC,콜센터,사무,1300,22.0,18996,13756,12716,7091
2025-07,서관,3,W3-OFA,사무 A,사무,1100,22.0,17137,12410,12020,6397
2025-07,서관,3,W3-COM,공용,공용,400,23.0,5186,3755,3141,1936
