ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-12,동관,1,E1-LOB,로비·안내,공용,900,24.0,7380,5344,2706,2755
2025-12,동관,1,E1-CAF,카페테리아,공용,700,24.0,5627,4074,2139,2100
2025-12,동관,1,E1-OFA,사무 A,사무,1400,23.0,12384,8967,5896,4622
2025-12,동관,1,E1-MTG,회의실 존,회의,600,23.5,4658,3373,2143,1739
2025-12,동관,1,E1-SRV,서버실,항온,400,20.0,14309,10362,0,5341
2025-12,동관,2,E2-OFA,사무 A,사무,1500,23.0,12094,8757,5473,4514
2025-12,동관,2,E2-OFB,사무 B,사무,1300,23.0,10675,7730,4975,3985
2025-12,동관,2,E2-MTG,회의실 존,회의,500,23.5,3949,2859,1876,1474
2025-12,동관,2,E2-COM,공용,공용,300,24.0,2402,1739,862,897
2025-12,동관,3,E3-OFA,사무 A,사무,1500,23.0,13366,9679,6269,4989
2025-12,동관,3,E3-OFB,사무 B,사무,1200,23.0,10171,7365,4693,3796
2025-12,동관,3,E3-EXE,임원실,사무,600,23.0,5278,3822,2489,1970
2025-12,동관,3,E3-COM,공용,공용,300,24.0,2499,1809,917,933
2025-12,서관,1,W1-TRN,교육장,회의,1100,23.5,8761,6344,3907,3270
2025-12,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,7229,5235,2678,2698
2025-12,서관,1,W1-OFA,사무 A,사무,1000,23.0,8486,6145,3841,3168
2025-12,서관,1,W1-COM,공용,공용,400,24.0,3339,2418,1310,1246
2025-12,서관,2,W2-OFA,사무 A,사무,1400,23.0,12225,8853,5850,4563
2025-12,서관,2,W2-OFB,사무 B,사무,1200,23.0,10583,7664,4819,3950
2025-12,서관,2,W2-MTG,회의실 존,회의,500,23.5,3803,2754,1716,1420
2025-12,서관,2,W2-COM,공용,공용,300,24.0,2354,1705,869,879
2025-12,서관,3,W3-CC,콜센터,사무,1300,23.0,11061,8009,5026,4129
2025-12,서관,3,W3-OFA,사무 A,사무,1100,23.0,9409,6814,4451,3512
2025-12,서관,3,W3-COM,공용,공용,400,24.0,3309,2397,1245,1235
