ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2026-03,동관,1,E1-LOB,로비·안내,공용,900,24.0,7301,5287,2846,2725
2026-03,동관,1,E1-CAF,카페테리아,공용,700,24.0,5833,4224,2224,2177
2026-03,동관,1,E1-OFA,사무 A,사무,1400,23.0,11971,8669,5316,4469
2026-03,동관,1,E1-MTG,회의실 존,회의,600,23.5,4364,3160,1949,1629
2026-03,동관,1,E1-SRV,서버실,항온,400,20.0,14510,10507,0,5416
2026-03,동관,2,E2-OFA,사무 A,사무,1500,23.0,12489,9044,5726,4662
2026-03,동관,2,E2-OFB,사무 B,사무,1300,23.0,10924,7910,4975,4078
2026-03,동관,2,E2-MTG,회의실 존,회의,500,23.5,3735,2705,1683,1394
2026-03,동관,2,E2-COM,공용,공용,300,24.0,2485,1799,959,928
2026-03,동관,3,E3-OFA,사무 A,사무,1500,23.0,12698,9195,5698,4740
2026-03,동관,3,E3-OFB,사무 B,사무,1200,23.0,10475,7585,4893,3910
2026-03,동관,3,E3-EXE,임원실,사무,600,23.0,5212,3774,2435,1946
2026-03,동관,3,E3-COM,공용,공용,300,24.0,2485,1799,950,928
2026-03,서관,1,W1-TRN,교육장,회의,1100,23.5,8354,6050,3967,3118
2026-03,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,7523,5448,2808,2808
2026-03,서관,1,W1-OFA,사무 A,사무,1000,23.0,8524,6173,3893,3182
2026-03,서관,1,W1-COM,공용,공용,400,24.0,3325,2408,1208,1241
2026-03,서관,2,W2-OFA,사무 A,사무,1400,23.0,11898,8616,5561,4441
2026-03,서관,2,W2-OFB,사무 B,사무,1200,23.0,10137,7341,4649,3784
2026-03,서관,2,W2-MTG,회의실 존,회의,500,23.5,3839,2780,1772,1433
2026-03,서관,2,W2-COM,공용,공용,300,24.0,2548,1845,1005,951
2026-03,서관,3,W3-CC,콜센터,사무,1300,23.0,11110,8045,4851,4147
2026-03,서관,3,W3-OFA,사무 A,사무,1100,23.0,9360,6778,4331,3494
2026-03,서관,3,W3-COM,공용,공용,400,24.0,3282,2377,1190,1225
