ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2026-05,동관,1,E1-LOB,로비·안내,공용,900,23.0,9495,6876,4771,3544
2026-05,동관,1,E1-CAF,카페테리아,공용,700,23.0,7219,5228,3616,2695
2026-05,동관,1,E1-OFA,사무 A,사무,1400,22.0,15872,11493,9351,5925
2026-05,동관,1,E1-MTG,회의실 존,회의,600,22.5,6190,4482,3666,2310
2026-05,동관,1,E1-SRV,서버실,항온,400,20.0,14461,10472,0,5398
2026-05,동관,2,E2-OFA,사무 A,사무,1500,22.0,16917,12251,9854,6315
2026-05,동관,2,E2-OFB,사무 B,사무,1300,22.0,13992,10132,8187,5223
2026-05,동관,2,E2-MTG,회의실 존,회의,500,22.5,5070,3672,2983,1893
2026-05,동관,2,E2-COM,공용,공용,300,23.0,3249,2353,1709,1213
2026-05,동관,3,E3-OFA,사무 A,사무,1500,22.0,17073,12363,10090,6373
2026-05,동관,3,E3-OFB,사무 B,사무,1200,22.0,13646,9881,8008,5094
2026-05,동관,3,E3-EXE,임원실,사무,600,22.0,6780,4910,4032,2531
2026-05,동관,3,E3-COM,공용,공용,300,23.0,3211,2325,1700,1199
2026-05,서관,1,W1-TRN,교육장,회의,1100,22.5,11416,8267,6806,4261
2026-05,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,9629,6973,4893,3594
2026-05,서관,1,W1-OFA,사무 A,사무,1000,22.0,11448,8290,6868,4273
2026-05,서관,1,W1-COM,공용,공용,400,23.0,4178,3026,2161,1560
2026-05,서관,2,W2-OFA,사무 A,사무,1400,22.0,16234,11756,9490,6060
2026-05,서관,2,W2-OFB,사무 B,사무,1200,22.0,13589,9840,8178,5072
2026-05,서관,2,W2-MTG,회의실 존,회의,500,22.5,5234,3790,3054,1954
2026-05,서관,2,W2-COM,공용,공용,300,23.0,3045,2205,1529,1137
2026-05,서관,3,W3-CC,콜센터,사무,1300,22.0,14566,10548,8697,5437
2026-05,서관,3,W3-OFA,사무 A,사무,1100,22.0,13012,9423,7832,4857
2026-05,서관,3,W3-COM,공용,공용,400,23.0,4293,3108,2247,1602
