ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2025-09,동관,1,E1-LOB,로비·안내,공용,900,23.0,10515,7615,5916,3925
2025-09,동관,1,E1-CAF,카페테리아,공용,700,23.0,8143,5897,4592,3040
2025-09,동관,1,E1-OFA,사무 A,사무,1400,22.0,18198,13178,11568,6793
2025-09,동관,1,E1-MTG,회의실 존,회의,600,22.5,7197,5211,4642,2686
2025-09,동관,1,E1-SRV,서버실,항온,400,20.0,14524,10517,0,5421
2025-09,동관,2,E2-OFA,사무 A,사무,1500,22.0,20325,14718,13500,7587
2025-09,동관,2,E2-OFB,사무 B,사무,1300,22.0,16591,12014,10605,6193
2025-09,동관,2,E2-MTG,회의실 존,회의,500,22.5,5977,4328,3888,2231
2025-09,동관,2,E2-COM,공용,공용,300,23.0,3406,2466,1898,1271
2025-09,동관,3,E3-OFA,사무 A,사무,1500,22.0,19732,14289,12579,7365
2025-09,동관,3,E3-OFB,사무 B,사무,1200,22.0,15569,11274,10205,5811
2025-09,동관,3,E3-EXE,임원실,사무,600,22.0,7559,5474,4754,2822
2025-09,동관,3,E3-COM,공용,공용,300,23.0,3571,2586,2064,1333
2025-09,서관,1,W1-TRN,교육장,회의,1100,22.5,13060,9457,8365,4875
2025-09,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,11326,8201,6535,4228
2025-09,서관,1,W1-OFA,사무 A,사무,1000,22.0,12937,9369,8335,4829
2025-09,서관,1,W1-COM,공용,공용,400,23.0,4625,3349,2620,1727
2025-09,서관,2,W2-OFA,사무 A,사무,1400,22.0,18076,13089,11550,6747
2025-09,서관,2,W2-OFB,사무 B,사무,1200,22.0,15283,11067,9875,5705
2025-09,서관,2,W2-MTG,회의실 존,회의,500,22.5,5558,4024,3475,2074
2025-09,서관,2,W2-COM,공용,공용,300,23.0,3482,2521,1892,1300
2025-09,서관,3,W3-CC,콜센터,사무,1300,22.0,16699,12092,10709,6233
2025-09,서관,3,W3-OFA,사무 A,사무,1100,22.0,14408,10433,9319,5378
2025-09,서관,3,W3-COM,공용,공용,400,23.0,4688,3394,2635,1750
