ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-06,동관,1,E1-LOB,로비·안내,공용,900,23.0,11244,8142,6456,4197
2024-06,동관,1,E1-CAF,카페테리아,공용,700,23.0,8449,6118,4957,3154
2024-06,동관,1,E1-OFA,사무 A,사무,1400,22.0,18215,13190,11627,6799
2024-06,동관,1,E1-MTG,회의실 존,회의,600,22.5,7238,5241,4666,2702
2024-06,동관,1,E1-SRV,서버실,항온,400,20.0,15636,11323,0,5837
2024-06,동관,2,E2-OFA,사무 A,사무,1500,22.0,20549,14881,13673,7671
2024-06,동관,2,E2-OFB,사무 B,사무,1300,22.0,17079,12368,11108,6375
2024-06,동관,2,E2-MTG,회의실 존,회의,500,22.5,5851,4237,3787,2184
2024-06,동관,2,E2-COM,공용,공용,300,23.0,3434,2487,1932,1282
2024-06,동관,3,E3-OFA,사무 A,사무,1500,22.0,19434,14073,12439,7254
2024-06,동관,3,E3-OFB,사무 B,사무,1200,22.0,15142,10965,9692,5652
2024-06,동관,3,E3-EXE,임원실,사무,600,22.0,8069,5843,5327,3012
2024-06,동관,3,E3-COM,공용,공용,300,23.0,3692,2673,2165,1378
2024-06,서관,1,W1-TRN,교육장,회의,1100,22.5,13329,9652,8768,4975
2024-06,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,10816,7832,6092,4037
2024-06,서관,1,W1-OFA,사무 A,사무,1000,22.0,13229,9579,8713,4938
2024-06,서관,1,W1-COM,공용,공용,400,23.0,4685,3393,2690,1749
2024-06,서관,2,W2-OFA,사무 A,사무,1400,22.0,17723,12834,11331,6615
2024-06,서관,2,W2-OFB,사무 B,사무,1200,22.0,16102,11660,10616,6011
2024-06,서관,2,W2-MTG,회의실 존,회의,500,22.5,5918,4285,3845,2209
2024-06,서관,2,W2-COM,공용,공용,300,23.0,3496,2531,1977,1305
2024-06,서관,3,W3-CC,콜센터,사무,1300,22.0,17209,12462,11149,6424
2024-06,서관,3,W3-OFA,사무 A,사무,1100,22.0,14420,10442,9426,5383
2024-06,서관,3,W3-COM,공용,공용,400,23.0,4783,3464,2679,1785
