ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-07,동관,1,E1-LOB,로비·안내,공용,900,23.0,11706,8477,7062,4370
2024-07,동관,1,E1-CAF,카페테리아,공용,700,23.0,9492,6873,5994,3543
2024-07,동관,1,E1-OFA,사무 A,사무,1400,22.0,21379,15482,14873,7980
2024-07,동관,1,E1-MTG,회의실 존,회의,600,22.5,7942,5751,5420,2965
2024-07,동관,1,E1-SRV,서버실,항온,400,20.0,15256,11047,0,5695
2024-07,동관,2,E2-OFA,사무 A,사무,1500,22.0,22531,16316,15551,8410
2024-07,동관,2,E2-OFB,사무 B,사무,1300,22.0,19124,13848,13280,7138
2024-07,동관,2,E2-MTG,회의실 존,회의,500,22.5,6521,4722,4369,2434
2024-07,동관,2,E2-COM,공용,공용,300,23.0,3987,2887,2477,1488
2024-07,동관,3,E3-OFA,사무 A,사무,1500,22.0,22884,16571,16165,8542
2024-07,동관,3,E3-OFB,사무 B,사무,1200,22.0,16833,12189,11191,6283
2024-07,동관,3,E3-EXE,임원실,사무,600,22.0,8830,6394,6051,3296
2024-07,동관,3,E3-COM,공용,공용,300,23.0,4066,2944,2531,1518
2024-07,서관,1,W1-TRN,교육장,회의,1100,22.5,14368,10404,9815,5363
2024-07,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,12006,8694,7307,4481
2024-07,서관,1,W1-OFA,사무 A,사무,1000,22.0,14049,10174,9391,5244
2024-07,서관,1,W1-COM,공용,공용,400,23.0,5397,3908,3372,2014
2024-07,서관,2,W2-OFA,사무 A,사무,1400,22.0,20239,14656,13807,7555
2024-07,서관,2,W2-OFB,사무 B,사무,1200,22.0,18666,13516,12994,6967
2024-07,서관,2,W2-MTG,회의실 존,회의,500,22.5,6685,4841,4618,2495
2024-07,서관,2,W2-COM,공용,공용,300,23.0,3853,2790,2342,1438
2024-07,서관,3,W3-CC,콜센터,사무,1300,22.0,19295,13972,13184,7202
2024-07,서관,3,W3-OFA,사무 A,사무,1100,22.0,16663,12066,11680,6220
2024-07,서관,3,W3-COM,공용,공용,400,23.0,5444,3942,3357,2032
