ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-10,동관,1,E1-LOB,로비·안내,공용,900,24.0,8728,6320,4183,3258
2024-10,동관,1,E1-CAF,카페테리아,공용,700,24.0,6875,4979,3225,2566
2024-10,동관,1,E1-OFA,사무 A,사무,1400,23.0,14548,10534,8205,5430
2024-10,동관,1,E1-MTG,회의실 존,회의,600,23.5,5571,4034,3135,2079
2024-10,동관,1,E1-SRV,서버실,항온,400,20.0,14515,10511,0,5418
2024-10,동관,2,E2-OFA,사무 A,사무,1500,23.0,15099,10934,8121,5636
2024-10,동관,2,E2-OFB,사무 B,사무,1300,23.0,13995,10135,8033,5224
2024-10,동관,2,E2-MTG,회의실 존,회의,500,23.5,4804,3479,2686,1793
2024-10,동관,2,E2-COM,공용,공용,300,24.0,2947,2134,1397,1100
2024-10,동관,3,E3-OFA,사무 A,사무,1500,23.0,15457,11193,8711,5770
2024-10,동관,3,E3-OFB,사무 B,사무,1200,23.0,12160,8806,6576,4539
2024-10,동관,3,E3-EXE,임원실,사무,600,23.0,6202,4491,3416,2315
2024-10,동관,3,E3-COM,공용,공용,300,24.0,2983,2160,1479,1114
2024-10,서관,1,W1-TRN,교육장,회의,1100,23.5,10828,7841,6164,4042
2024-10,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,8712,6309,4038,3252
2024-10,서관,1,W1-OFA,사무 A,사무,1000,23.0,10007,7246,5542,3735
2024-10,서관,1,W1-COM,공용,공용,400,24.0,3849,2787,1757,1437
2024-10,서관,2,W2-OFA,사무 A,사무,1400,23.0,13986,10128,7558,5221
2024-10,서관,2,W2-OFB,사무 B,사무,1200,23.0,12650,9161,7142,4722
2024-10,서관,2,W2-MTG,회의실 존,회의,500,23.5,4751,3441,2608,1774
2024-10,서관,2,W2-COM,공용,공용,300,24.0,2874,2081,1314,1073
2024-10,서관,3,W3-CC,콜센터,사무,1300,23.0,13434,9728,7434,5014
2024-10,서관,3,W3-OFA,사무 A,사무,1100,23.0,11227,8130,6040,4191
2024-10,서관,3,W3-COM,공용,공용,400,24.0,3806,2756,1778,1421
