ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2026-08,동관,1,E1-LOB,로비·안내,공용,900,23.0,12132,8786,7538,4529
2026-08,동관,1,E1-CAF,카페테리아,공용,700,23.0,9718,7037,6147,3627
2026-08,동관,1,E1-OFA,사무 A,사무,1400,22.0,22321,16163,15568,8332
2026-08,동관,1,E1-MTG,회의실 존,회의,600,22.5,8324,6028,5838,3107
2026-08,동관,1,E1-SRV,서버실,항온,400,20.0,15512,11233,0,5790
2026-08,동관,2,E2-OFA,사무 A,사무,1500,22.0,22045,15964,14963,8229
2026-08,동관,2,E2-OFB,사무 B,사무,1300,22.0,19541,14150,13665,7294
2026-08,동관,2,E2-MTG,회의실 존,회의,500,22.5,7105,5145,4931,2652
2026-08,동관,2,E2-COM,공용,공용,300,23.0,4132,2992,2600,1542
2026-08,동관,3,E3-OFA,사무 A,사무,1500,22.0,21237,15378,14289,7927
2026-08,동관,3,E3-OFB,사무 B,사무,1200,22.0,18643,13500,12914,6959
2026-08,동관,3,E3-EXE,임원실,사무,600,22.0,9154,6629,6461,3417
2026-08,동관,3,E3-COM,공용,공용,300,23.0,4097,2967,2549,1529
2026-08,서관,1,W1-TRN,교육장,회의,1100,22.5,14986,10852,10235,5594
2026-08,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,11989,8682,7512,4475
2026-08,서관,1,W1-OFA,사무 A,사무,1000,22.0,15513,11233,10801,5790
2026-08,서관,1,W1-COM,공용,공용,400,23.0,5532,4006,3461,2065
2026-08,서관,2,W2-OFA,사무 A,사무,1400,22.0,21904,15861,15349,8176
2026-08,서관,2,W2-OFB,사무 B,사무,1200,22.0,18024,13052,12577,6728
2026-08,서관,2,W2-MTG,회의실 존,회의,500,22.5,6817,4936,4737,2544
2026-08,서관,2,W2-COM,공용,공용,300,23.0,4026,2916,2518,1503
2026-08,서관,3,W3-CC,콜센터,사무,1300,22.0,19088,13823,13050,7125
2026-08,서관,3,W3-OFA,사무 A,사무,1100,22.0,16139,11687,11212,6024
2026-08,서관,3,W3-COM,공용,공용,400,23.0,5384,3899,3328,2010
