ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2024-05,동관,1,E1-LOB,로비·안내,공용,900,23.0,9518,6892,4817,3553
2024-05,동관,1,E1-CAF,카페테리아,공용,700,23.0,7278,5270,3748,2717
2024-05,동관,1,E1-OFA,사무 A,사무,1400,22.0,15820,11456,9036,5905
2024-05,동관,1,E1-MTG,회의실 존,회의,600,22.5,6075,4399,3516,2268
2024-05,동관,1,E1-SRV,서버실,항온,400,20.0,14348,10390,0,5356
2024-05,동관,2,E2-OFA,사무 A,사무,1500,22.0,17603,12747,10631,6571
2024-05,동관,2,E2-OFB,사무 B,사무,1300,22.0,15603,11299,9461,5824
2024-05,동관,2,E2-MTG,회의실 존,회의,500,22.5,5082,3680,2973,1897
2024-05,동관,2,E2-COM,공용,공용,300,23.0,3064,2219,1594,1144
2024-05,동관,3,E3-OFA,사무 A,사무,1500,22.0,17143,12414,10269,6399
2024-05,동관,3,E3-OFB,사무 B,사무,1200,22.0,13022,9430,7672,4861
2024-05,동관,3,E3-EXE,임원실,사무,600,22.0,6866,4972,4010,2563
2024-05,동관,3,E3-COM,공용,공용,300,23.0,3052,2210,1551,1139
2024-05,서관,1,W1-TRN,교육장,회의,1100,22.5,11439,8284,6854,4270
2024-05,서관,1,W1-SHW,전시·딜러 라운지,공용,900,23.0,9906,7173,5254,3698
2024-05,서관,1,W1-OFA,사무 A,사무,1000,22.0,11467,8304,6968,4280
2024-05,서관,1,W1-COM,공용,공용,400,23.0,4091,2963,2082,1527
2024-05,서관,2,W2-OFA,사무 A,사무,1400,22.0,15393,11147,8891,5746
2024-05,서관,2,W2-OFB,사무 B,사무,1200,22.0,13556,9817,8054,5060
2024-05,서관,2,W2-MTG,회의실 존,회의,500,22.5,4892,3543,2821,1826
2024-05,서관,2,W2-COM,공용,공용,300,23.0,3244,2349,1738,1211
2024-05,서관,3,W3-CC,콜센터,사무,1300,22.0,15208,11013,9060,5677
2024-05,서관,3,W3-OFA,사무 A,사무,1100,22.0,12328,8927,7378,4602
2024-05,서관,3,W3-COM,공용,공용,400,23.0,4154,3008,2101,1551
