ym,building,floor,zone_id,zone_name,zone_type,area_m2,temp_set_c,kwh_peak,kwh_off,kwh_peak_hvac,cost_usd
2026-02,동관,1,E1-LOB,로비·안내,공용,900,24.0,6889,4988,2383,2571
2026-02,동관,1,E1-CAF,카페테리아,공용,700,24.0,5373,3891,1778,2006
2026-02,동관,1,E1-OFA,사무 A,사무,1400,23.0,10880,7878,4533,4061
2026-02,동관,1,E1-MTG,회의실 존,회의,600,23.5,4262,3086,1704,1591
2026-02,동관,1,E1-SRV,서버실,항온,400,20.0,13861,10037,0,5174
2026-02,동관,2,E2-OFA,사무 A,사무,1500,23.0,11574,8381,4670,4320
2026-02,동관,2,E2-OFB,사무 B,사무,1300,23.0,10161,7358,4095,3793
2026-02,동관,2,E2-MTG,회의실 존,회의,500,23.5,3525,2553,1460,1316
2026-02,동관,2,E2-COM,공용,공용,300,24.0,2255,1633,763,842
2026-02,동관,3,E3-OFA,사무 A,사무,1500,23.0,11706,8477,4649,4370
2026-02,동관,3,E3-OFB,사무 B,사무,1200,23.0,9377,6791,3798,3500
2026-02,동관,3,E3-EXE,임원실,사무,600,23.0,4643,3363,1890,1733
2026-02,동관,3,E3-COM,공용,공용,300,24.0,2323,1682,757,867
2026-02,서관,1,W1-TRN,교육장,회의,1100,23.5,7713,5585,3079,2879
2026-02,서관,1,W1-SHW,전시·딜러 라운지,공용,900,24.0,6899,4996,2201,2575
2026-02,서관,1,W1-OFA,사무 A,사무,1000,23.0,7880,5706,3151,2941
2026-02,서관,1,W1-COM,공용,공용,400,24.0,3128,2265,1072,1168
2026-02,서관,2,W2-OFA,사무 A,사무,1400,23.0,10849,7856,4303,4050
2026-02,서관,2,W2-OFB,사무 B,사무,1200,23.0,9427,6826,3821,3519
2026-02,서관,2,W2-MTG,회의실 존,회의,500,23.5,3481,2520,1391,1299
2026-02,서관,2,W2-COM,공용,공용,300,24.0,2287,1656,729,854
2026-02,서관,3,W3-CC,콜센터,사무,1300,23.0,10228,7407,4190,3818
2026-02,서관,3,W3-OFA,사무 A,사무,1100,23.0,8558,6197,3401,3195
2026-02,서관,3,W3-COM,공용,공용,400,24.0,3041,2202,967,1135
